PlayerId,BX,BY,C
273,1,13,2
273,2,12,1
273,3,1,1
273,3,5,1
273,3,8,1
273,3,9,2
273,3,10,2
273,3,18,1
273,4,6,1
273,4,8,1
273,4,9,1
273,4,13,2
273,5,1,1
273,5,2,1
273,5,7,1
273,5,10,1
273,5,11,1
273,5,13,1
273,5,14,1
273,5,15,1
273,6,0,1
273,6,1,1
273,6,2,2
273,6,3,1
273,6,4,1
273,6,5,4
273,6,6,3
273,6,7,1
273,6,8,1
273,6,9,3
273,6,10,2
273,6,11,1
273,6,12,5
273,6,13,6
273,6,16,1
273,6,17,1
273,6,18,3
273,6,19,1
273,7,1,2
273,7,8,2
273,7,9,3
273,7,11,4
273,7,12,4
273,7,14,1
273,7,15,2
273,7,16,1
273,8,5,2
273,8,8,1
273,8,9,1
273,8,11,2
273,8,12,1
273,8,13,2
273,8,14,1
273,8,15,1
273,8,17,2
273,8,18,4
273,9,2,2
273,9,3,1
273,9,4,1
273,9,5,1
273,9,6,1
273,9,9,2
273,9,10,6
273,9,11,1
273,9,15,3
273,10,4,1
273,10,6,1
273,10,9,3
273,10,10,3
273,10,11,1
273,10,13,1
273,10,14,1
273,10,16,1
273,11,1,2
273,11,3,1
273,11,4,1
273,11,5,2
273,11,6,1
273,11,7,2
273,11,9,1
273,11,10,2
273,11,11,1
273,11,13,2
273,11,14,3
273,11,15,2
273,11,16,1
273,11,17,1
273,11,18,2
273,11,19,2
273,12,0,2
273,12,2,2
273,12,4,2
273,12,6,1
273,12,8,3
273,12,9,3
273,12,10,2
273,12,12,1
273,12,15,4
273,12,17,3
273,12,18,2
273,12,19,2
273,13,0,1
273,13,3,2
273,13,5,3
273,13,6,1
273,13,7,1
273,13,10,2
273,13,11,4
273,13,12,1
273,13,13,3
273,13,14,1
273,13,15,2
273,13,16,1
273,13,17,1
273,13,18,2
273,13,19,2
273,14,0,1
273,14,2,2
273,14,3,2
273,14,4,1
273,14,6,1
273,14,8,2
273,14,9,1
273,14,10,2
273,14,11,5
273,14,12,1
273,14,13,4
273,14,14,1
273,14,16,1
273,14,17,1
273,14,18,2
273,14,19,2
273,15,1,1
273,15,3,1
273,15,5,1
273,15,6,1
273,15,8,1
273,15,9,2
273,15,12,1
273,15,13,2
273,15,14,1
273,15,15,1
273,15,17,2
273,15,18,1
273,16,4,2
273,16,9,1
273,16,10,2
273,16,13,2
273,16,15,1
273,17,1,1
273,17,3,1
273,17,4,1
273,17,7,2
273,17,8,1
273,17,13,1
273,17,17,2
273,17,18,1
273,18,3,1
273,18,4,1
273,18,7,1
273,18,9,1
273,18,13,1
273,19,0,5
273,19,5,1
273,19,10,1
273,19,12,1
273,19,13,1
273,19,19,6
340,0,9,1
340,1,8,1
340,1,17,1
340,2,10,2
770,0,0,3
770,0,1,2
770,0,3,2
770,0,4,2
770,0,5,2
770,0,6,3
770,0,7,1
770,0,8,7
770,0,9,2
770,0,10,5
770,0,11,7
770,0,12,2
770,0,13,8
770,0,14,5
770,0,15,5
770,0,16,2
770,0,17,3
770,0,19,2
770,1,1,3
770,1,2,2
770,1,3,7
770,1,4,4
770,1,5,7
770,1,6,11
770,1,7,12
770,1,8,6
770,1,9,17
770,1,10,14
770,1,11,12
770,1,12,2
770,1,13,6
770,1,14,11
770,1,15,6
770,1,16,10
770,1,17,1
770,1,18,3
770,1,19,1
770,2,0,4
770,2,1,5
770,2,2,1
770,2,3,7
770,2,4,3
770,2,5,5
770,2,6,11
770,2,7,11
770,2,8,11
770,2,9,9
770,2,10,11
770,2,11,14
770,2,12,5
770,2,13,3
770,2,14,11
770,2,15,2
770,2,16,9
770,2,17,9
770,2,18,8
770,2,19,2
770,3,1,5
770,3,2,7
770,3,3,2
770,3,4,1
770,3,5,6
770,3,6,8
770,3,7,11
770,3,8,10
770,3,9,9
770,3,10,5
770,3,11,8
770,3,12,8
770,3,13,4
770,3,14,8
770,3,15,2
770,3,16,5
770,3,17,4
770,3,18,2
770,3,19,2
770,4,0,5
770,4,1,7
770,4,2,7
770,4,3,1
770,4,4,10
770,4,5,14
770,4,6,18
770,4,7,16
770,4,8,12
770,4,9,8
770,4,10,6
770,4,11,13
770,4,12,12
770,4,13,11
770,4,14,15
770,4,15,10
770,4,16,7
770,4,17,3
770,4,18,3
770,4,19,2
770,5,0,4
770,5,1,4
770,5,2,5
770,5,3,10
770,5,4,11
770,5,5,18
770,5,6,25
770,5,7,15
770,5,8,17
770,5,9,12
770,5,10,14
770,5,11,13
770,5,12,26
770,5,13,23
770,5,14,24
770,5,15,10
770,5,16,6
770,5,17,3
770,5,18,3
770,5,19,1
770,6,1,6
770,6,2,7
770,6,3,6
770,6,4,10
770,6,5,12
770,6,6,20
770,6,7,23
770,6,8,16
770,6,9,19
770,6,10,22
770,6,11,21
770,6,12,27
770,6,13,28
770,6,14,19
770,6,15,12
770,6,16,2
770,6,17,5
770,6,18,2
770,6,19,2
770,7,0,2
770,7,1,5
770,7,2,3
770,7,3,1
770,7,4,8
770,7,5,12
770,7,6,30
770,7,7,30
770,7,8,26
770,7,9,17
770,7,10,6
770,7,11,14
770,7,12,25
770,7,13,21
770,7,14,21
770,7,15,4
770,7,16,7
770,7,17,6
770,7,18,4
770,7,19,1
770,8,0,1
770,8,1,3
770,8,2,3
770,8,3,7
770,8,4,9
770,8,5,22
770,8,6,32
770,8,7,20
770,8,8,9
770,8,9,15
770,8,10,24
770,8,11,10
770,8,12,21
770,8,13,29
770,8,14,11
770,8,15,3
770,8,16,7
770,8,17,3
770,8,18,4
770,8,19,1
770,9,0,2
770,9,2,4
770,9,3,2
770,9,4,3
770,9,5,12
770,9,6,23
770,9,7,19
770,9,8,22
770,9,9,18
770,9,10,28
770,9,11,21
770,9,12,17
770,9,13,26
770,9,14,8
770,9,15,4
770,9,16,3
770,9,17,2
770,9,18,1
770,9,19,3
770,10,0,3
770,10,1,2
770,10,2,3
770,10,3,5
770,10,4,6
770,10,5,10
770,10,6,20
770,10,7,14
770,10,8,19
770,10,9,18
770,10,10,17
770,10,11,13
770,10,12,15
770,10,13,19
770,10,14,4
770,10,15,6
770,10,16,3
770,10,17,2
770,10,19,1
770,11,1,2
770,11,2,2
770,11,3,3
770,11,4,4
770,11,5,3
770,11,6,17
770,11,7,12
770,11,8,7
770,11,9,11
770,11,10,2
770,11,11,8
770,11,12,12
770,11,13,13
770,11,14,9
770,11,15,6
770,11,16,2
770,11,17,4
770,11,18,4
770,11,19,1
770,12,1,3
770,12,2,1
770,12,3,4
770,12,5,6
770,12,6,15
770,12,7,11
770,12,8,14
770,12,9,3
770,12,10,5
770,12,11,9
770,12,12,5
770,12,13,11
770,12,14,3
770,12,15,2
770,12,17,1
770,12,18,3
770,13,5,3
770,13,6,3
770,13,7,3
770,13,8,7
770,13,9,3
770,13,10,1
770,13,12,4
770,13,13,7
770,13,14,2
770,14,2,2
770,14,3,1
770,14,6,1
770,14,8,3
770,14,9,3
770,14,10,1
770,14,12,2
770,14,14,1
770,14,15,1
770,14,18,2
770,15,6,1
770,15,7,1
770,15,13,1
770,15,15,1
770,16,2,1
770,16,8,1
770,16,10,1
770,17,2,2
770,17,7,2
770,17,8,3
770,17,9,2
770,17,10,9
770,17,11,5
770,17,12,3
770,18,8,7
770,18,9,10
770,18,10,8
770,18,11,4
770,18,16,1
770,19,8,2
770,19,9,2
1749,0,2,2
1749,0,12,2
1749,1,1,1
1749,1,3,1
1749,1,8,1
1749,1,10,1
1749,1,12,1
1749,2,2,1
1749,2,3,2
1749,2,7,6
1749,2,9,1
1749,2,11,1
1749,3,0,1
1749,3,1,1
1749,3,4,1
1749,3,14,1
1749,4,0,2
1749,4,1,1
1749,4,2,1
1749,4,3,1
1749,4,6,2
1749,4,7,1
1749,4,11,1
1749,4,17,3
1749,4,18,3
1749,5,0,1
1749,5,1,5
1749,5,2,2
1749,5,3,1
1749,5,4,2
1749,5,6,2
1749,5,7,1
1749,5,8,1
1749,5,9,1
1749,5,17,1
1749,6,0,2
1749,6,1,5
1749,6,2,2
1749,6,4,2
1749,6,5,3
1749,6,12,1
1749,6,13,1
1749,6,19,1
1749,7,0,1
1749,7,1,1
1749,7,2,5
1749,7,4,1
1749,7,6,1
1749,7,8,2
1749,7,10,1
1749,7,17,1
1749,7,18,2
1749,7,19,1
1749,8,0,4
1749,8,1,4
1749,8,2,2
1749,8,3,2
1749,8,4,3
1749,8,5,2
1749,8,6,1
1749,8,7,1
1749,8,8,2
1749,8,15,1
1749,8,18,1
1749,8,19,2
1749,9,0,1
1749,9,2,1
1749,9,3,2
1749,9,6,1
1749,9,7,1
1749,9,8,1
1749,9,10,1
1749,9,11,1
1749,9,16,2
1749,9,17,1
1749,10,0,2
1749,10,1,2
1749,10,2,1
1749,10,3,4
1749,10,5,3
1749,10,6,1
1749,10,7,1
1749,10,9,2
1749,10,10,2
1749,10,11,2
1749,11,0,3
1749,11,1,10
1749,11,2,2
1749,11,3,1
1749,11,4,2
1749,11,5,5
1749,11,6,1
1749,11,7,1
1749,11,9,1
1749,11,10,2
1749,11,13,3
1749,11,15,1
1749,11,16,1
1749,11,17,2
1749,11,18,7
1749,12,0,2
1749,12,1,8
1749,12,2,1
1749,12,3,2
1749,12,4,4
1749,12,5,1
1749,12,6,4
1749,12,7,4
1749,12,9,2
1749,12,10,1
1749,12,11,1
1749,12,12,1
1749,12,14,1
1749,12,15,3
1749,12,18,4
1749,12,19,1
1749,13,0,6
1749,13,1,2
1749,13,2,7
1749,13,3,1
1749,13,5,3
1749,13,7,3
1749,13,8,2
1749,13,13,1
1749,13,15,1
1749,13,16,2
1749,13,17,1
1749,13,18,3
1749,13,19,1
1749,14,0,2
1749,14,1,2
1749,14,2,4
1749,14,3,4
1749,14,5,4
1749,14,6,2
1749,14,7,1
1749,14,8,3
1749,14,9,2
1749,14,11,3
1749,14,13,2
1749,14,15,1
1749,14,16,1
1749,14,17,4
1749,14,18,6
1749,14,19,3
1749,15,0,2
1749,15,1,9
1749,15,2,4
1749,15,3,7
1749,15,4,5
1749,15,5,2
1749,15,6,2
1749,15,8,1
1749,15,9,1
1749,15,11,1
1749,15,14,2
1749,15,16,2
1749,15,17,1
1749,15,18,3
1749,16,0,3
1749,16,1,3
1749,16,2,3
1749,16,3,2
1749,16,4,1
1749,16,6,2
1749,16,10,1
1749,16,15,2
1749,16,16,1
1749,16,17,1
1749,16,18,3
1749,17,0,2
1749,17,1,5
1749,17,2,4
1749,17,3,2
1749,17,4,3
1749,17,6,1
1749,17,7,2
1749,17,8,1
1749,17,9,1
1749,17,13,1
1749,17,14,2
1749,17,16,1
1749,17,17,1
1749,18,2,5
1749,18,3,1
1749,18,6,4
1749,18,9,1
1749,18,10,1
1749,18,11,1
1749,18,18,1
1749,19,0,17
1749,19,2,3
1749,19,3,2
1749,19,4,1
1749,19,5,5
1749,19,7,2
1749,19,9,1
1749,19,19,10
3041,0,0,1
3041,0,1,2
3041,0,2,9
3041,0,3,8
3041,0,4,3
3041,0,5,13
3041,0,6,9
3041,0,7,9
3041,0,8,12
3041,0,9,6
3041,0,10,4
3041,0,11,5
3041,0,12,2
3041,0,13,2
3041,0,14,3
3041,1,0,2
3041,1,1,4
3041,1,2,7
3041,1,3,11
3041,1,4,6
3041,1,5,13
3041,1,6,12
3041,1,7,10
3041,1,8,18
3041,1,9,26
3041,1,10,23
3041,1,11,6
3041,1,12,1
3041,1,13,3
3041,1,14,2
3041,1,17,1
3041,2,0,9
3041,2,1,10
3041,2,2,21
3041,2,3,15
3041,2,4,6
3041,2,5,17
3041,2,6,14
3041,2,7,15
3041,2,8,16
3041,2,9,19
3041,2,10,19
3041,2,11,3
3041,2,12,5
3041,2,13,2
3041,2,14,2
3041,2,15,2
3041,2,17,1
3041,2,18,1
3041,3,0,4
3041,3,1,8
3041,3,2,19
3041,3,3,17
3041,3,4,7
3041,3,5,12
3041,3,6,14
3041,3,7,5
3041,3,8,10
3041,3,9,6
3041,3,10,5
3041,3,11,3
3041,3,12,5
3041,3,13,1
3041,3,14,3
3041,3,17,2
3041,3,18,1
3041,4,0,2
3041,4,1,9
3041,4,2,12
3041,4,3,30
3041,4,4,25
3041,4,5,41
3041,4,6,27
3041,4,7,22
3041,4,8,14
3041,4,9,10
3041,4,10,17
3041,4,11,3
3041,4,12,7
3041,4,13,3
3041,4,14,6
3041,4,15,2
3041,4,18,1
3041,5,0,3
3041,5,1,13
3041,5,2,9
3041,5,3,20
3041,5,4,18
3041,5,5,33
3041,5,6,22
3041,5,7,20
3041,5,8,27
3041,5,9,20
3041,5,10,13
3041,5,11,6
3041,5,12,7
3041,5,13,2
3041,5,15,4
3041,5,17,1
3041,6,0,9
3041,6,1,8
3041,6,2,12
3041,6,3,11
3041,6,4,6
3041,6,5,26
3041,6,6,26
3041,6,7,31
3041,6,8,36
3041,6,9,37
3041,6,10,23
3041,6,11,6
3041,6,12,14
3041,6,13,5
3041,6,14,4
3041,6,15,3
3041,6,16,1
3041,7,0,1
3041,7,1,1
3041,7,2,8
3041,7,3,13
3041,7,4,13
3041,7,5,23
3041,7,6,21
3041,7,7,29
3041,7,8,30
3041,7,9,27
3041,7,10,13
3041,7,11,11
3041,7,12,12
3041,7,13,4
3041,7,14,4
3041,7,15,2
3041,7,17,2
3041,7,19,1
3041,8,0,8
3041,8,1,7
3041,8,2,5
3041,8,3,8
3041,8,4,10
3041,8,5,15
3041,8,6,38
3041,8,7,27
3041,8,8,19
3041,8,9,19
3041,8,10,16
3041,8,11,7
3041,8,12,10
3041,8,13,7
3041,8,14,2
3041,8,15,3
3041,8,16,1
3041,8,17,1
3041,9,0,4
3041,9,1,3
3041,9,2,5
3041,9,3,1
3041,9,4,1
3041,9,5,12
3041,9,6,29
3041,9,7,13
3041,9,8,31
3041,9,9,29
3041,9,10,15
3041,9,11,8
3041,9,13,5
3041,9,14,1
3041,9,15,3
3041,9,18,1
3041,10,0,3
3041,10,1,3
3041,10,2,2
3041,10,3,4
3041,10,4,4
3041,10,5,11
3041,10,6,23
3041,10,7,6
3041,10,8,25
3041,10,9,14
3041,10,10,7
3041,10,11,16
3041,10,12,1
3041,10,13,6
3041,10,14,6
3041,10,15,2
3041,11,0,6
3041,11,1,8
3041,11,2,2
3041,11,3,8
3041,11,4,5
3041,11,5,11
3041,11,6,13
3041,11,7,12
3041,11,8,8
3041,11,9,8
3041,11,10,3
3041,11,11,5
3041,11,12,3
3041,11,13,2
3041,11,14,2
3041,11,15,1
3041,11,16,3
