Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,IntensityScore_abs,IntensityBand,GKScore_abs,GKBand
David Ospina,Arsenal,eng Premier League,GK,27.3,360,4.0,,,,,,,,,,
Jack Butland,Stoke City,eng Premier League,GK,22.8,2790,31.0,,,,,,,,,839.246554951821,World Class
Petr Čech,Arsenal,eng Premier League,GK,33.6,3060,34.0,,,,,,,,,885.5901766384148,World Class
Vito Mannone,Sunderland,eng Premier League,GK,27.8,1710,19.0,,,,,,,,,818.0276996240584,World Class
Heurelho Gomes,Watford,eng Premier League,GK,34.9,3397,37.7,,,,,,,,,784.9687267271578,World Class
Karl Darlow,Newcastle Utd,eng Premier League,GK,25.2,810,9.0,,,,,,,,,760.0693709343038,World Class
Adrián,West Ham,eng Premier League,GK,29.0,2879,32.0,,,,,,,,,798.0314547551297,World Class
Kasper Schmeichel,Leicester City,eng Premier League,GK,29.2,3420,38.0,,,,,,,,,799.472103264568,World Class
Hugo Lloris,Tottenham,eng Premier League,GK,29.0,3330,37.0,,,,,,,,,775.2070500892769,World Class
David De Gea,Manchester Utd,eng Premier League,GK,25.1,3060,34.0,,,,,,,,,746.8178079126317,Top Starter
Jordan Pickford,Sunderland,eng Premier League,GK,21.8,180,2.0,,,,,,,,,,
Tim Howard,Everton,eng Premier League,GK,36.8,2250,25.0,,,,,,,,,778.5637249466079,World Class
Joe Hart,Manchester City,eng Premier League,GK,28.7,3110,34.6,,,,,,,,,752.597456014411,World Class
Fraser Forster,Southampton,eng Premier League,GK,27.8,1620,18.0,,,,,,,,,732.850480380694,Top Starter
Asmir Begović,Chelsea,eng Premier League,GK,28.5,1397,15.5,,,,,,,,,751.241851148195,World Class
Ben Foster,West Brom,eng Premier League,GK,32.7,1350,15.0,,,,,,,,,745.9360718890717,Top Starter
Łukasz Fabiański,Swansea City,eng Premier League,GK,30.7,3330,37.0,,,,,,,,,763.4707672391925,World Class
Willy Caballero,Manchester City,eng Premier League,GK,34.3,310,3.4,,,,,,,,,,
