Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,IntensityScore_abs,IntensityBand
Patrick van Aanholt,Crystal Palace,eng Premier League,DF,28,2507,27.9,,,,,563.8576287010461,Top Starter,631.853343746435,Top Starter
Max Aarons,Norwich City,eng Premier League,DF,19,3240,36.0,,,,,507.6823071395503,Top Starter,563.2852152069019,Top Starter
Yunis Abdelhamid,Reims,fr Ligue 1,DF,31,2520,28.0,,,,,679.3627644766602,Top Starter,832.3095899939719,World Class
Suleiman Abdullahi,Union Berlin,de Bundesliga,FW,22,157,1.7,,,,,,,,
Mehdi Abeid,Nantes,fr Ligue 1,MF,26,1817,20.2,,,552.8964912029317,Top Starter,,,721.9834232474334,Top Starter
Charles Abi,Saint-Étienne,fr Ligue 1,FW,19,623,6.9,113.13260482058436,Below Big-5 Level,,,,,444.89968265157626,Top Starter
David Abraham,Eint Frankfurt,de Bundesliga,DF,33,1688,18.8,,,,,588.0363258340071,Top Starter,739.0321729824082,Top Starter
Tammy Abraham,Chelsea,eng Premier League,FW,21,2215,24.6,700.5781374523351,Top Starter,,,,,322.2231629561513,Solid Squad Player
Amir Abrashi,Freiburg,de Bundesliga,Def_MF,29,663,7.4,,,,,618.4626612675393,Top Starter,714.5176860211784,Top Starter
Francesco Acerbi,Lazio,it Serie A,DF,31,3162,35.1,,,,,600.8531691266063,Top Starter,715.4123780707728,Top Starter
Che Adams,Southampton,eng Premier League,FW,23,1111,12.3,500.4554604531951,Top Starter,,,,,442.5937924423748,Top Starter
Tyler Adams,RB Leipzig,de Bundesliga,MF,20,953,10.6,,,370.0562195481526,Solid Squad Player,,,737.4073486959121,Top Starter
Sargis Adamyan,Hoffenheim,de Bundesliga,FW,26,746,8.3,699.055304549728,Top Starter,,,,,466.06328108229036,Top Starter
Bobby Adekanye,Lazio,it Serie A,FW,20,188,2.1,,,,,,,,
Claud Adjapong,Hellas Verona,it Serie A,DF,21,231,2.6,,,,,,,,
Amine Adli,Toulouse,fr Ligue 1,Off_MF,19,46,0.5,,,,,,,,
Yacine Adli,Bordeaux,fr Ligue 1,MF,19,1020,11.3,,,845.1291719033749,World Class,,,731.7060437807512,Top Starter
Aritz Aduriz,Athletic Club,es La Liga,FW,38,208,2.3,,,,,,,,
Lumor Agbenyenu,Mallorca,es La Liga,DF,22,1805,20.1,,,,,500.0536075754275,Top Starter,615.5727419998859,Top Starter
Martin Agirregabiria,Alavés,es La Liga,DF,23,2099,23.3,,,,,472.2304893717859,Top Starter,617.2461545200188,Top Starter
Lucien Agoume,Inter,it Serie A,MF,17,68,0.8,,,,,,,,
Kevin Agudelo,Fiorentina,it Serie A,Off_MF,20,64,0.7,,,,,,,,
Kevin Agudelo,Genoa,it Serie A,MF,20,666,7.4,,,771.5452270921829,World Class,,,751.9364611303888,World Class
Nayef Aguerd,Dijon,fr Ligue 1,DF,23,957,10.6,,,,,657.352036567218,Top Starter,790.6313354085588,World Class
Sergio Agüero,Manchester City,eng Premier League,FW,31,1452,16.1,782.2491010134032,World Class,,,,,349.9664552806272,Solid Squad Player
Ruben Aguilar,Monaco,fr Ligue 1,DF,26,1072,11.9,,,,,571.2334989007718,Top Starter,802.0539434884147,World Class
Emmanuel Agyemang-Badu,Hellas Verona,it Serie A,MF,28,230,2.6,,,,,,,,
Jean-Eudes Aholou,Saint-Étienne,fr Ligue 1,MF,25,630,7.0,,,598.0374028411835,Top Starter,,,782.4697528168955,World Class
Joseph Aidoo,Celta Vigo,es La Liga,DF,23,2502,27.8,,,,,647.0416337401597,Top Starter,685.1750341461368,Top Starter
Ola Aina,Torino,it Serie A,DF,22,2079,23.1,,,,,610.3633065633433,Top Starter,733.919748328098,Top Starter
Youssef Aït Bennasser,Bordeaux,fr Ligue 1,MF,23,536,6.0,,,506.89953264122533,Top Starter,,,747.2123919173728,Top Starter
Rayan Aït-Nouri,Angers,fr Ligue 1,DF,18,1282,14.2,,,,,611.8926559863368,Top Starter,711.5720565645287,Top Starter
Albian Ajeti,West Ham,eng Premier League,FW,22,139,1.5,,,,,,,,
Ludovic Ajorque,Strasbourg,fr Ligue 1,FW,25,2058,22.9,419.03532045081664,Top Starter,,,,,329.8653618534932,Solid Squad Player
Manuel Akanji,Dortmund,de Bundesliga,DF,24,2309,25.7,,,,,557.5821861009326,Top Starter,668.2385559760748,Top Starter
Marley Aké,Marseille,fr Ligue 1,FW,18,99,1.1,,,,,,,,
Nathan Aké,Bournemouth,eng Premier League,DF,24,2503,27.8,,,,,637.0200520333556,Top Starter,688.1889620789653,Top Starter
Chadrac Akolo,Amiens,fr Ligue 1,FW,24,544,6.0,465.6740662158619,Top Starter,,,,,584.1214196884451,Top Starter
Kevin Akpoguma,Hoffenheim,de Bundesliga,DF,24,1142,12.7,,,,,691.1541223135858,Top Starter,724.9601245365434,Top Starter
David Alaba,Bayern Munich,de Bundesliga,DF,27,2498,27.8,,,,,498.1926646997519,Top Starter,656.0107521098357,Top Starter
Sofiane Alakouch,Nîmes,fr Ligue 1,DF,21,1400,15.6,,,,,644.5182056918153,Top Starter,668.8755561998794,Top Starter
Lucas Alario,Leverkusen,de Bundesliga,FW,26,1174,13.0,558.3308629926872,Top Starter,,,,,323.809813571581,Solid Squad Player
Jordi Alba,Barcelona,es La Liga,DF,30,2187,24.3,,,,,484.05375255703217,Top Starter,583.7127121045098,Top Starter
Luis Alberto,Lazio,it Serie A,Off_MF,26,3113,34.6,737.038345859342,Top Starter,,,,,844.7209173683738,World Class
Raúl Albiol,Villarreal,es La Liga,DF,33,3237,36.0,,,,,563.3402139262054,Top Starter,641.2795588673825,Top Starter
Marc Albrighton,Leicester City,eng Premier League,Off_MF,29,867,9.6,446.7856842751459,Top Starter,,,,,748.3236657013383,Top Starter
Paco Alcácer,Villarreal,es La Liga,FW,25,924,10.3,479.80296027276694,Top Starter,,,,,255.71284392901183,Solid Squad Player
Paco Alcácer,Dortmund,de Bundesliga,FW,25,530,5.9,740.1620497359596,Top Starter,,,,,152.3304361891294,Below Big-5 Level
Thiago Alcántara,Bayern Munich,de Bundesliga,MF,28,1771,19.7,,,554.79745934595,Top Starter,,,936.7104290029001,Exceptional
Rubén Alcaraz,Valladolid,es La Liga,MF,28,1927,21.4,,,454.92831334927246,Top Starter,,,750.5220120483538,World Class
Toby Alderweireld,Tottenham,eng Premier League,DF,30,2957,32.9,,,,,634.2498286625092,Top Starter,665.4966335369978,Top Starter
Haitam Aleesami,Amiens,fr Ligue 1,DF,28,1916,21.3,,,,,607.7917563058223,Top Starter,697.6925691732035,Top Starter
Álex Alegría,Mallorca,es La Liga,FW,26,109,1.2,,,,,,,,
Carles Aleñá,Barcelona,es La Liga,MF,21,172,1.9,,,,,,,,
Carles Aleñá,Betis,es La Liga,MF,21,735,8.2,,,370.922242767243,Solid Squad Player,,,556.3151140169423,Top Starter
Trent Alexander-Arnold,Liverpool,eng Premier League,DF,20,3175,35.3,,,,,559.6976216995774,Top Starter,679.9706586956082,Top Starter
Rachid Alioui,Angers,fr Ligue 1,FW,27,1563,17.4,421.18773780458423,Top Starter,,,,,369.6039635246994,Solid Squad Player
Allan,Napoli,it Serie A,MF,28,1280,14.2,,,591.1854813197682,Top Starter,,,840.2387716275969,World Class
Dele Alli,Tottenham,eng Premier League,Off_MF,23,1847,20.5,650.9761108662653,Top Starter,,,,,645.4809914465698,Top Starter
Miguel Almirón,Newcastle Utd,eng Premier League,Off_MF,25,3021,33.6,331.73811021163755,Solid Squad Player,,,,,683.533470653451,Top Starter
Marcos Alonso,Chelsea,eng Premier League,DF,28,1430,15.9,,,,,548.5778656417663,Top Starter,858.7807930732987,World Class
Mickaël Alphonse,Dijon,fr Ligue 1,DF,30,1378,15.3,,,,,650.7289918356694,Top Starter,743.1891010562473,Top Starter
Sergio Álvarez,Eibar,es La Liga,MF,27,1147,12.7,,,261.3894825305799,Solid Squad Player,,,670.2171065071379,Top Starter
Yeray Álvarez,Athletic Club,es La Liga,DF,24,2810,31.2,,,,,611.656917866514,Top Starter,807.8666561766339,World Class
Bruno Alves,Parma,it Serie A,DF,37,2671,29.7,,,,,490.02091577140794,Top Starter,598.235243243366,Top Starter
Steven Alzate,Brighton,eng Premier League,MF,20,1188,13.2,,,455.8888681899669,Top Starter,,,748.6763034224576,Top Starter
Ibrahim Amadou,Norwich City,eng Premier League,DF,26,759,8.4,,,,,757.6404064984984,World Class,734.8637169763143,Top Starter
Ibrahim Amadou,Leganés,es La Liga,MF,26,770,8.6,,,227.3025369404474,Solid Squad Player,,,612.2352647640878,Top Starter
Romain Amalfitano,Dijon,fr Ligue 1,MF,29,1695,18.8,,,459.55511933257804,Top Starter,,,748.0544270998421,Top Starter
Amath,Getafe,es La Liga,Off_MF,23,66,0.7,,,,,,,,
Jordan Amavi,Marseille,fr Ligue 1,DF,25,2164,24.0,,,,,664.6869784763712,Top Starter,853.466631737405,World Class
Thierry Ambrose,Metz,fr Ligue 1,FW,22,548,6.1,243.1255661728179,Solid Squad Player,,,,,730.1494382809527,Top Starter
Kelvin Amian,Toulouse,fr Ligue 1,DF,21,1633,18.1,,,,,511.00100613897405,Top Starter,561.7808291447591,Top Starter
Nadiem Amiri,Leverkusen,de Bundesliga,Off_MF,22,1857,20.6,446.84528445832325,Top Starter,,,,,702.6669858596692,Top Starter
Ethan Ampadu,RB Leipzig,de Bundesliga,DF,18,81,0.9,,,,,,,,
Opoku Ampomah,Düsseldorf,de Bundesliga,FW,23,500,5.6,160.21294881589003,Below Big-5 Level,,,,,568.044560881347,Top Starter
Sofyan Amrabat,Hellas Verona,it Serie A,MF,22,2919,32.4,,,488.112325406373,Top Starter,,,799.728031916059,World Class
Joachim Andersen,Lyon,fr Ligue 1,DF,23,1531,17.0,,,,,523.8167567392619,Top Starter,743.3750023168157,Top Starter
Djavan Anderson,Lazio,it Serie A,FW,24,167,1.9,,,,,,,,
Felipe Anderson,West Ham,eng Premier League,Off_MF,26,1497,16.6,495.6217610537783,Top Starter,,,,,910.2482668438456,Exceptional
Sebastian Andersson,Union Berlin,de Bundesliga,FW,28,2682,29.8,425.5709979757811,Top Starter,,,,,405.24387117551066,Top Starter
Florin Andone,Brighton,eng Premier League,FW,26,73,0.8,,,,,,,,
Benjamin André,Lille,fr Ligue 1,MF,28,2054,22.8,,,479.64433968936737,Top Starter,,,822.0795420314346,World Class
Robert Andrich,Union Berlin,de Bundesliga,MF,24,2572,28.6,,,468.92770571330067,Top Starter,,,670.2132351266534,Top Starter
Victorien Angban,Metz,fr Ligue 1,MF,22,1029,11.4,,,364.13219251741066,Solid Squad Player,,,743.6236636719683,Top Starter
Miguel Ángel Guerrero,Leganés,es La Liga,FW,29,790,8.8,215.59122695486332,Solid Squad Player,,,,,283.10699024200994,Solid Squad Player
José Ángel,Eibar,es La Liga,DF,29,2360,26.2,,,,,562.7159459669351,Top Starter,742.3312840726346,Top Starter
Angeliño,Manchester City,eng Premier League,DF,22,423,4.7,,,,,,,,
Angeliño,RB Leipzig,de Bundesliga,DF,22,1095,12.2,,,,,533.2827593071302,Top Starter,618.5881021461169,Top Starter
Faustino Anjorin,Chelsea,eng Premier League,FW,17,20,0.2,,,,,,,,
Peter Ankersen,Genoa,it Serie A,DF,28,1063,11.8,,,,,410.23074011507777,Top Starter,523.9774319501623,Top Starter
Cristian Ansaldi,Torino,it Serie A,DF,32,1768,19.6,,,,,478.156642983656,Top Starter,588.3641226797426,Top Starter
Janis Antiste,Toulouse,fr Ligue 1,Off_MF,16,12,0.1,,,,,,,,
Michail Antonio,West Ham,eng Premier League,FW,29,1768,19.6,668.8324446451383,Top Starter,,,,,535.8462590821574,Top Starter
Antoñito,Valladolid,es La Liga,DF,31,1029,11.4,,,,,567.990059885056,Top Starter,606.7786730247446,Top Starter
Mirko Antonucci,Roma,it Serie A,FW,20,82,0.9,,,,,,,,
Vitorino Antunes,Getafe,es La Liga,MF,32,6,0.1,,,,,,,,
Christopher Antwi-Adjei,Paderborn 07,de Bundesliga,Off_MF,25,2470,27.4,323.6200187062283,Solid Squad Player,,,,,585.0064944492716,Top Starter
Anuar,Valladolid,es La Liga,MF,24,189,2.1,,,,,,,,
Houssem Aouar,Lyon,fr Ligue 1,Off_MF,21,1956,21.7,474.12547885934936,Top Starter,,,,,807.2986739776424,World Class
Adil Aouchiche,Paris S-G,fr Ligue 1,MF,17,64,0.7,,,,,,,,
Dennis Appiah,Nantes,fr Ligue 1,DF,27,1605,17.8,,,,,617.2308637056864,Top Starter,728.044166800583,Top Starter
Mauro Arambarri,Getafe,es La Liga,MF,23,3069,34.1,,,317.34665028263714,Solid Squad Player,,,622.8486374136622,Top Starter
Guilherme Arana,Atalanta,it Serie A,DF,22,80,0.9,,,,,,,,
Charles Aránguiz,Leverkusen,de Bundesliga,MF,30,2118,23.5,,,569.0296895092413,Top Starter,,,730.5251229138751,Top Starter
Luiz Araújo,Lille,fr Ligue 1,FW,23,828,9.2,357.45735621223577,Solid Squad Player,,,,,609.6885834010768,Top Starter
Néstor Araujo,Celta Vigo,es La Liga,DF,27,2888,32.1,,,,,625.1998391537378,Top Starter,737.8083860385935,Top Starter
Ronald Araújo,Barcelona,es La Liga,DF,20,238,2.6,,,,,,,,
Anaitz Arbilla,Eibar,es La Liga,DF,32,2007,22.3,,,,,565.2171525215412,Top Starter,763.0916958673436,World Class
Santiago Arias,Atlético Madrid,es La Liga,DF,27,1076,12.0,,,,,680.7356394832075,Top Starter,755.5994076313398,World Class
Stuart Armstrong,Southampton,eng Premier League,Off_MF,27,1715,19.1,461.7551674863912,Top Starter,,,,,591.6569701506833,Top Starter
José Arnaiz,Osasuna,es La Liga,FW,24,791,8.8,315.3933533630269,Solid Squad Player,,,,,393.6101887201811,Solid Squad Player
José Arnaiz,Leganés,es La Liga,Off_MF,24,337,3.7,,,,,,,,
Maximilian Arnold,Wolfsburg,de Bundesliga,MF,25,2821,31.3,,,728.3520941486643,Top Starter,,,606.6719740800353,Top Starter
Kwadwo Asamoah,Inter,it Serie A,DF,30,639,7.1,,,,,545.6991052154823,Top Starter,609.4701127418818,Top Starter
Santiago Ascacíbar,Hertha BSC,de Bundesliga,MF,22,634,7.0,,,403.0864248622827,Top Starter,,,683.789109679901,Top Starter
Marco Asensio,Real Madrid,es La Liga,FW,23,336,3.7,,,,,,,,
Kristoffer Askildsen,Sampdoria,it Serie A,MF,18,76,0.8,,,,,,,,
Iago Aspas,Celta Vigo,es La Liga,FW,31,3262,36.2,409.6261130154362,Top Starter,,,,,512.1726943688678,Top Starter
Roger Assalé,Leganés,es La Liga,FW,25,531,5.9,486.89051236671537,Top Starter,,,,,417.6146252938407,Top Starter
Youcef Atal,Nice,fr Ligue 1,FW,23,1003,11.1,263.78701765698673,Solid Squad Player,,,,,821.2763167877222,World Class
Miguel Atienza,Eibar,es La Liga,MF,20,30,0.3,,,,,,,,
Christian Atsu,Newcastle Utd,eng Premier League,Off_MF,27,749,8.3,406.426793942411,Top Starter,,,,,635.1611048429609,Top Starter
Pierre-Emerick Aubameyang,Arsenal,eng Premier League,FW,30,3136,34.8,608.0535317617629,Top Starter,,,,,429.04493218493286,Top Starter
Tommaso Augello,Sampdoria,it Serie A,DF,24,1135,12.6,,,,,473.02066585115415,Top Starter,665.3697943102734,Top Starter
Jean-Kévin Augustin,Monaco,fr Ligue 1,FW,22,266,3.0,,,,,,,,
Ludwig Augustinsson,Werder Bremen,de Bundesliga,DF,25,924,10.3,,,,,575.1709770625121,Top Starter,663.2726407709204,Top Starter
Serge Aurier,Tottenham,eng Premier League,DF,26,2700,30.0,,,,,729.4172964072075,Top Starter,839.6951753328299,World Class
Mathias Autret,Brest,fr Ligue 1,Off_MF,28,1222,13.6,527.0457731198686,Top Starter,,,,,558.449783217914,Top Starter
Ezequiel Ávila,Osasuna,es La Liga,FW,25,1591,17.7,624.2305064522621,Top Starter,,,,,413.3280413145513,Top Starter
Javier Avilés,Leganés,es La Liga,Off_MF,21,184,2.0,,,,,,,,
Chidozie Awaziem,Leganés,es La Liga,DF,22,1997,22.2,,,,,551.5394220436865,Top Starter,617.1309586462926,Top Starter
Taiwo Awoniyi,Mainz 05,de Bundesliga,FW,21,483,5.4,405.4287216051922,Top Starter,,,,,506.50187417874815,Top Starter
Florian Ayé,Brescia,it Serie A,FW,22,1380,15.3,108.63828597392612,Below Big-5 Level,,,,,391.47234363025194,Solid Squad Player
Jordan Ayew,Crystal Palace,eng Premier League,FW,27,3148,35.0,335.5702398736455,Solid Squad Player,,,,,518.7462586460921,Top Starter
Kaan Ayhan,Düsseldorf,de Bundesliga,DF,24,2731,30.3,,,,,574.5855107831236,Top Starter,697.0566857778208,Top Starter
Ramon Azeez,Granada,es La Liga,MF,26,1361,15.1,,,274.6224478937891,Solid Squad Player,,,480.09027401108585,Top Starter
César Azpilicueta,Chelsea,eng Premier League,DF,29,3229,35.9,,,,,762.8505000521398,World Class,856.0574269866862,World Class
