Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand
Max Aarons,Norwich City,eng Premier League,DF,21,2881,32.0,,,,,355.3220361509835,Solid Squad Player
Yunis Abdelhamid,Reims,fr Ligue 1,DF,33,2983,33.1,,,,,448.3216096636354,Top Starter
Salis Abdul Samed,Clermont Foot,fr Ligue 1,MF,21,2462,27.4,,,240.14598540145988,Solid Squad Player,,
Laurent Abergel,Lorient,fr Ligue 1,MF,28,2956,32.8,,,369.16666666666674,Solid Squad Player,,
Dickson Abiama,Greuther Fürth,de Bundesliga,FW,22,726,8.1,177.57298227933148,Below Big-5 Level,,,,
Tammy Abraham,Roma,it Serie A,FW,23,3084,34.3,487.0943412026294,Top Starter,,,,
Luis Abram,Granada,es La Liga,DF,25,560,6.2,,,,,359.23317580363414,Solid Squad Player
Francesco Acerbi,Lazio,it Serie A,DF,33,2536,28.2,,,,,390.20293049408383,Solid Squad Player
Marcos Acuña,Sevilla,es La Liga,DF,29,2260,25.1,,,,,247.11766135125328,Solid Squad Player
Che Adams,Southampton,eng Premier League,FW,25,2039,22.7,332.47204158217374,Solid Squad Player,,,,
Tyler Adams,RB Leipzig,de Bundesliga,MF,22,1351,15.0,,,317.82222222222225,Solid Squad Player,,
Amine Adli,Leverkusen,de Bundesliga,FW,21,1256,14.0,339.9308390022675,Solid Squad Player,,,,
Yacine Adli,Bordeaux,fr Ligue 1,FW,21,2260,25.1,291.50800125273656,Solid Squad Player,,,,
Felix Afena-Gyan,Roma,it Serie A,FW,18,668,7.4,261.6989744846888,Solid Squad Player,,,,
Martin Agirregabiria,Alavés,es La Liga,DF,25,1616,18.0,,,,,322.8749651907546,Solid Squad Player
Lucien Agoume,Brest,fr Ligue 1,MF,19,1868,20.8,,,255.99358974358978,Solid Squad Player,,
Kevin Agudelo,Spezia,it Serie A,FW,22,1237,13.7,257.4207838853303,Solid Squad Player,,,,
Nayef Aguerd,Rennes,fr Ligue 1,DF,25,2735,30.4,,,,,349.2026117926395,Solid Squad Player
Ruben Aguilar,Monaco,fr Ligue 1,DF,28,2140,23.8,,,,,400.8991666842175,Top Starter
