Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,RawScore,MainScore,MainBand
Brenden Aaronson,Leeds United,eng Premier League,Off_MF,21,2372,26.4,343.2967288284363,Solid Squad Player,,,,,343.2967288284363,352.8,Solid Squad Player
Paxten Aaronson,Eint Frankfurt,de Bundesliga,Off_MF,18,173,1.9,,,,,,,,,Below Big-5 Level
James Abankwah,Udinese,it Serie A,DF,18,63,0.7,,,,,,,,,Below Big-5 Level
Yunis Abdelhamid,Reims,fr Ligue 1,DF,34,3330,37.0,,,,,779.6535275424287,World Class,779.6535275424287,815.9,World Class
Himad Abdelli,Angers,fr Ligue 1,MF,22,2137,23.7,,,661.5538544402963,Top Starter,,,661.5538544402963,703.2,Top Starter
Salis Abdul Samed,Lens,fr Ligue 1,MF,22,2894,32.2,,,366.6398648613617,Solid Squad Player,,,366.6398648613617,322.0,Solid Squad Player
Laurent Abergel,Lorient,fr Ligue 1,MF,29,2342,26.0,,,391.5357067209294,Solid Squad Player,,,391.5357067209294,354.2,Solid Squad Player
Oliver Abildgaard,Hellas Verona,it Serie A,MF,26,592,6.6,,,263.233635989054,Solid Squad Player,,,263.233635989054,203.0,Solid Squad Player
Matthis Abline,Auxerre,fr Ligue 1,FW,19,806,9.0,244.09846259691463,Solid Squad Player,,,,,244.09846259691463,251.3,Solid Squad Player
Matthis Abline,Rennes,fr Ligue 1,FW,19,107,1.2,,,,,,,,,Below Big-5 Level
Abner,Betis,es La Liga,DF,22,607,6.7,,,,,593.3099855105114,Top Starter,593.3099855105114,563.7,Top Starter
Zakaria Aboukhlal,Toulouse,fr Ligue 1,FW,22,2473,27.5,545.1819500510748,Top Starter,,,,,545.1819500510748,607.3,Top Starter
Tammy Abraham,Roma,it Serie A,FW,24,2189,24.3,514.0118145220772,Top Starter,,,,,514.0118145220772,596.6,Top Starter
Christian Acella,Cremonese,it Serie A,MF,20,15,0.2,,,,,,,,,Below Big-5 Level
Francesco Acerbi,Inter,it Serie A,DF,34,2425,26.9,,,,,591.1290166132877,Top Starter,591.1290166132877,525.6,Top Starter
Mohamed Achi,Nantes,fr Ligue 1,FW,20,36,0.4,,,,,,,,,Below Big-5 Level
Marcos Acuña,Sevilla,es La Liga,DF,30,1912,21.2,,,,,592.3775491628644,Top Starter,592.3775491628644,561.9,Top Starter
Che Adams,Southampton,eng Premier League,FW,26,1992,22.1,380.38860401327656,Solid Squad Player,,,,,380.38860401327656,446.3,Top Starter
Tyler Adams,Leeds United,eng Premier League,MF,23,2156,24.0,,,430.04021431259565,Top Starter,,,430.04021431259565,445.8,Top Starter
Sargis Adamyan,Köln,de Bundesliga,FW,29,644,7.2,463.48918252943014,Top Starter,,,,,463.48918252943014,534.3,Top Starter
Tosin Adarabioyo,Fulham,eng Premier League,DF,24,2085,23.2,,,,,582.010868678057,Top Starter,582.010868678057,542.1,Top Starter
Martin Adeline,Reims,fr Ligue 1,Def_MF,18,107,1.2,,,,,,,,,Below Big-5 Level
Karim Adeyemi,Dortmund,de Bundesliga,FW,20,1386,15.4,632.0023910792277,Top Starter,,,,,632.0023910792277,742.1,Top Starter
Amine Adli,Leverkusen,de Bundesliga,FW,22,1435,15.9,497.94234816724446,Top Starter,,,,,497.94234816724446,576.8,Top Starter
Yacine Adli,Milan,it Serie A,Off_MF,22,144,1.6,,,,,,,,,Below Big-5 Level
Michel Aebischer,Bologna,it Serie A,FW,25,1542,17.1,140.9091710949296,Below Big-5 Level,,,,,140.9091710949296,136.5,Below Big-5 Level
Felix Afena-Gyan,Cremonese,it Serie A,FW,19,817,9.1,115.5951891246009,Below Big-5 Level,,,,,115.5951891246009,105.3,Below Big-5 Level
Emmanuel Agbadou,Reims,fr Ligue 1,DF,25,2388,26.5,,,,,755.0870953631588,World Class,755.0870953631588,772.1,World Class
