Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,Season
Patrick van Aanholt,Crystal Palace,eng Premier League,DF,26.0,2184,24.3,,,,,379.8329843813923,Solid Squad Player,2017-2018
Rolando Aarons,Hellas Verona,it Serie A,FW,21.0,517,5.7,69.83196085451725,Below Big-5 Level,,,,,2017-2018
Ignazio Abate,Milan,it Serie A,DF,30.0,1057,11.7,,,,,350.18714878364,Solid Squad Player,2017-2018
Aymen Abdennour,Marseille,fr Ligue 1,DF,27.0,499,5.5,,,,,306.463127515759,Solid Squad Player,2017-2018
Mehdi Abeid,Dijon,fr Ligue 1,MF,24.0,1176,13.1,,,274.45292620865143,Solid Squad Player,,,2017-2018
David Abraham,Eint Frankfurt,de Bundesliga,DF,31.0,2302,25.6,,,,,431.9089390142021,Top Starter,2017-2018
Tammy Abraham,Swansea City,eng Premier League,FW,19.0,1726,19.2,275.06374401612493,Solid Squad Player,,,,,2017-2018
Amir Abrashi,Freiburg,de Bundesliga,MF,27.0,850,9.4,,,202.19858156028369,Solid Squad Player,,,2017-2018
Francesco Acerbi,Sassuolo,it Serie A,DF,29.0,3420,38.0,,,,,499.2650046168052,Top Starter,2017-2018
Afriyie Acquah,Torino,it Serie A,MF,25.0,951,10.6,,,296.8553459119497,Solid Squad Player,,,2017-2018
Aday,Girona,es La Liga,DF,29.0,1835,20.4,,,,,280.60707323865216,Solid Squad Player,2017-2018
Khaled Adénon,Amiens,fr Ligue 1,DF,32.0,2921,32.5,,,,,482.0885967833336,Top Starter,2017-2018
Claud Adjapong,Sassuolo,it Serie A,FW,19.0,1220,13.6,103.2515006002401,Below Big-5 Level,,,,,2017-2018
Ali Adnan Kadhim,Udinese,it Serie A,FW,23.0,1674,18.6,106.56166337502742,Below Big-5 Level,,,,,2017-2018
Aritz Aduriz,Athletic Club,es La Liga,FW,36.0,2152,23.9,351.1638345714855,Solid Squad Player,,,,,2017-2018
Benik Afobe,Bournemouth,eng Premier League,FW,24.0,611,6.8,106.65666266506602,Below Big-5 Level,,,,,2017-2018
Martin Agirregabiria,Alavés,es La Liga,DF,21.0,1828,20.3,,,,,393.1770312480709,Solid Squad Player,2017-2018
Sergio Agüero,Manchester City,eng Premier League,FW,29.0,1963,21.8,810.105723023154,World Class,,,,,2017-2018
Ruben Aguilar,Montpellier,fr Ligue 1,DF,24.0,2459,27.3,,,,,352.8976286871023,Solid Squad Player,2017-2018
Matías Aguirregaray,Las Palmas,es La Liga,DF,28.0,1153,12.8,,,,,365.4772347535505,Solid Squad Player,2017-2018
Jean-Eudes Aholou,Strasbourg,fr Ligue 1,MF,23.0,3006,33.4,,,227.14570858283437,Solid Squad Player,,,2017-2018
Youssef Aït Bennasser,Caen,fr Ligue 1,MF,21.0,2047,22.7,,,281.9089574155654,Solid Squad Player,,,2017-2018
