Player,OffScore_mean,MidScore_mean,DefScore_mean,Min,90s,MainScore_mean
Aaron Anselmino,,,,346,3.8,
Aaron Connolly,342.0733344195911,,,2205,24.5,391.95
Aaron Cresswell,,,505.84162458602026,16776,186.4,355.11428571428576
Aaron Hickey,,,473.6214294376493,6721,74.6,321.2
Aaron Hunt,422.7856665893912,,,2081,23.1,432.5
Aaron Lennon,139.94724997302112,,,5173,57.4,130.8
Aaron Leya Iseka,266.72919201561473,,,3229,35.8,274.3666666666667
Aaron Mooy,358.33822065031893,656.3919062673864,,7482,83.2,495.86666666666673
Aaron Ramsey,688.7556411056778,427.44607157769957,,7527,83.7,650.2333333333333
Aaron Rowe,,,,69,0.8,
Aaron Seydel,230.6455266813323,,,619,6.9,237.5
Aaron Wan-Bissaka,,,736.2611967412785,19064,211.7,815.9444444444445
Aaron Zehnter,,,506.79409090232417,989,11.0,376.9
Aarón Martín,,,463.76170473610364,19273,214.2,265.6111111111111
Abakar Sylla,,,735.7881002621773,2742,30.5,729.25
Abass Issah,,,,27,0.30000000000000004,
Abdallah N'dour,,,,918,10.1,
Abdallah Sima,463.76245922588544,,,3231,35.9,505.2
Abdallahi Mahmoud,,,,218,2.4,
Abde Ezzalzouli,382.196208876548,,,5781,64.2,441.26000000000005
Abde Rebbach,282.39123735159455,,,1871,20.8,309.15
Abdel Abqar,,,592.7013175941081,5465,60.8,554.4333333333333
Abdel Jalil Medioub,,,623.6247631685977,622,6.9,538.4
Abdelhamid Ait Boudlal,,,531.4366702067476,648,7.2,381.6
Abdelhamid Sabiri,392.5975536058949,434.8377015171347,,3305,36.6,403.6333333333334
Abdellah Raihani,,,,10,0.1,
Abdou Diallo,,,614.024912576584,8840,98.1,506.5833333333333
Abdou Harroui,591.358222623096,411.74292093355564,,2757,30.6,510.025
Abdoul Camara,338.40344746621133,,,888,9.9,373.8
Abdoul Coulibaly,,,632.3599447001114,1130,12.6,595.9
Abdoul Kader Bamba,454.15492791275307,,,3074,34.2,486.7
Abdoul Koné,,,,326,3.6,
Abdoul Ouattara,,,481.671088369059,1403,15.600000000000001,293.34999999999997
Abdoulay Diaby,,,,18,0.2,
Abdoulaye Ba,,,726.801074272825,2110,23.4,754.1
Abdoulaye Bakayoko,,,,307,3.4,
Abdoulaye Bamba,,,482.0855955795015,9439,105.0,243.27142857142854
Abdoulaye Dabo,,,,116,1.3,
Abdoulaye Doucouré,372.6919403282679,553.5237646374247,,21248,236.0,524.8875
Abdoulaye Faye,,,742.2476974672354,573,6.4,734.3
Abdoulaye Keita,,,,95,1.1,
Abdoulaye Niakhate Ndiaye,,,761.6495195706732,2203,24.5,795.3
Abdoulaye Sidibé,,,,11,0.1,
Abdoulaye Sylla,,,,165,1.8,
Abdoulaye Touré,,375.5752453736245,,15239,169.3,338.65714285714284
Abdoulie Ceesay,,,,253,2.8,
Abdourahmane Barry,,,,210,2.3,
Abdu Conté,,,366.9945811491773,2662,29.6,99.05
Abdukodir Khusanov,,,651.7333709988808,2669,29.6,602.8333333333334
Abdul Fatawu Issahaku,297.17155103668256,,,579,6.4,327.6
Abdul Majeed Waris,212.9663663325796,,,3496,38.8,213.35000000000002
Abdul Mumin,,,579.872713432564,4633,51.4,533.4666666666667
Abdulai Juma Bah,,,670.8125640407969,2540,28.2,641.0333333333333
Abdón Prats,382.95225459659196,,,3147,34.9,435.3666666666666
Abel Bretones,,,511.9976886795358,3424,38.0,408.8
Abel Ruiz,244.77626948215183,,,1405,15.6,260.7
Ablie Jallow,450.5786082476261,,,1047,11.6,420.2
Abner,,,536.9216945007661,3987,44.3,426.02500000000003
Abou Lô,,,,197,2.2,
Abou Ouattara,,,,9,0.1,
Aboubacar Ali,,,,130,1.4,
Aboubaka Soumahoro,,,,136,1.5,
Aboubakar Kamara,305.35369767946963,,,1565,17.4,336.15
Aboubakar Sidibé,,,,6,0.1,
Abu Kamara,,,,196,2.2,
Achraf Dari,,,617.1180766194675,1438,15.9,526.6
Achraf Hakimi,,,544.5812084353038,17064,189.6,391.9
Achraf Lazaar,213.44501062997583,,,478,5.3,201.4
Adalberto Peñaranda,122.14344369003986,,,802,8.9,148.7
Adam Armstrong,274.38544331705765,,,3996,44.4,303.2
Adam Aznou,,,701.7022707818563,893,9.899999999999999,757.0
Adam Boayar,,,,51,0.6,
Adam Bodzek,,,632.6431508024497,3611,40.099999999999994,404.15
Adam Buksa,221.0681475387358,,,593,6.6,259.7
Adam Daghim,301.4250608460167,,,576,6.4,354.5
Adam Dźwigała,,,799.0747754633803,962,10.6,886.8
Adam Forshaw,,464.2593067141908,,2009,22.3,498.45
Adam Hložek,604.4840190795913,,,3640,40.5,668.4
Adam Idah,329.5753281282963,,,853,9.4,370.2
Adam Karabec,279.6593832926013,,,768,8.5,315.2
Adam Kölle,,,,77,0.9,
Adam Lallana,332.79845159731934,464.1518271201532,,6184,68.5,404.44
Adam Marušić,,,432.29478260368,20948,232.8,199.54444444444445
Adam Masina,,,637.6134905174583,10763,119.6,596.6857142857143
Adam Obert,,,692.5254248595605,3596,40.0,704.8666666666667
Adam Ounas,523.5250791930932,,,5087,56.5,576.9
Adam Smith,,,506.13714488490484,13398,148.9,368.35714285714283
Adam Webster,,,636.3847914815457,10712,119.0,639.1166666666667
Adam Wharton,,692.711808235612,,4177,46.4,790.1999999999999
Adam Zreľák,325.0460753556729,,,941,10.5,355.4
Adama Boiro,,,446.8663440944157,1464,16.2,275.7
Adama Bojang,,,,83,0.9,
Adama Camara,,281.0763357210242,,1152,12.8,238.2
Adama Diakhaby,266.3435048082434,,,1402,15.5,283.3
Adama Mbengue,,,695.3804097815653,2334,25.9,562.75
Adama Niane,381.5771206347832,,,2164,24.0,420.7
