Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,IntensityScore_abs,IntensityBand,Season
Patrick van Aanholt,Crystal Palace,eng Premier League,DF,26.0,2184,24.3,,,,,642.9905952786146,Top Starter,651.6643962408147,Top Starter,2017-2018
Rolando Aarons,Newcastle Utd,eng Premier League,Off_MF,21.0,139,1.5,,,,,,,,,2017-2018
Rolando Aarons,Hellas Verona,it Serie A,Off_MF,21.0,517,5.7,104.46211343794336,Below Big-5 Level,,,,,469.8774265253254,Top Starter,2017-2018
Ignazio Abate,Milan,it Serie A,DF,30.0,1057,11.7,,,,,623.1348074272036,Top Starter,529.4800970389961,Top Starter,2017-2018
Aymen Abdennour,Marseille,fr Ligue 1,DF,27.0,499,5.5,,,,,455.24650024884687,Top Starter,679.8396441861252,Top Starter,2017-2018
Aly Abeid,Levante,es La Liga,DF,19.0,77,0.9,,,,,,,,,2017-2018
Mehdi Abeid,Dijon,fr Ligue 1,MF,24.0,1176,13.1,,,391.9273199615359,Solid Squad Player,,,751.2473963252648,World Class,2017-2018
David Abraham,Eint Frankfurt,de Bundesliga,DF,31.0,2302,25.6,,,,,704.0428433236375,Top Starter,774.7688775440067,World Class,2017-2018
Tammy Abraham,Swansea City,eng Premier League,FW,19.0,1726,19.2,356.74773605307666,Solid Squad Player,,,,,300.836880443528,Solid Squad Player,2017-2018
Amir Abrashi,Freiburg,de Bundesliga,MF,27.0,850,9.4,,,332.466049557972,Solid Squad Player,,,669.4717808916126,Top Starter,2017-2018
Francesco Acerbi,Sassuolo,it Serie A,DF,29.0,3420,38.0,,,,,696.6916100196037,Top Starter,814.6985305768015,World Class,2017-2018
Afriyie Acquah,Torino,it Serie A,MF,25.0,951,10.6,,,427.7358256388362,Top Starter,,,721.6496556962483,Top Starter,2017-2018
Charlie Adam,Stoke City,eng Premier League,MF,31.0,411,4.6,,,,,,,,,2017-2018
Aday,Girona,es La Liga,DF,29.0,1835,20.4,,,,,468.28957864834194,Top Starter,621.4560330707493,Top Starter,2017-2018
Khaled Adénon,Amiens,fr Ligue 1,DF,32.0,2921,32.5,,,,,676.9662546807846,Top Starter,702.5425313913721,Top Starter,2017-2018
Claud Adjapong,Sassuolo,it Serie A,DF,19.0,1220,13.6,,,,,704.7845660042666,Top Starter,732.182909487865,Top Starter,2017-2018
