season,sofa_player_id,Pos
2017-2018,921033,Off_MF
2017-2018,39686,DF
2017-2018,372240,Off_MF
2017-2018,824130,Off_MF
2017-2018,843263,FW
2017-2018,928795,Off_MF
2017-2018,6061,Def_MF
2017-2018,936234,FW
2017-2018,318741,MF
2017-2018,861981,Off_MF
2017-2018,156683,DF
2017-2018,843270,FW
2017-2018,792122,Off_MF
2017-2018,859024,FW
2017-2018,822810,DF
2017-2018,84686,DF
2017-2018,855835,MF
2017-2018,893062,MF
2017-2018,921216,FW
2017-2018,870263,DF
2017-2018,787830,MF
2017-2018,855647,Off_MF
2017-2018,914419,Off_MF
2017-2018,358538,Off_MF
2017-2018,826551,MF
2017-2018,332961,MF
2017-2018,24927,Def_MF
2017-2018,847097,DF
2017-2018,928271,Def_MF
2017-2018,889680,DF
2017-2018,361410,DF
2017-2018,793525,FW
2017-2018,855944,MF
2017-2018,284359,MF
2017-2018,19218,FW
2017-2018,186807,DF
2017-2018,826198,FW
2017-2018,536318,Off_MF
2017-2018,907187,FW
2017-2018,360172,Off_MF
2017-2018,801246,DF
2017-2018,802159,FW
2017-2018,291611,DF
2017-2018,31265,MF
2017-2018,823631,Off_MF
2017-2018,280835,MF
2017-2018,803185,FW
2017-2018,254813,FW
2017-2018,367056,Off_MF
2017-2018,839223,MF
2017-2018,8944,DF
2017-2018,902370,MF
2017-2018,352594,Off_MF
2017-2018,847147,FW
2017-2018,909119,FW
2017-2018,823127,FW
2017-2018,845102,Off_MF
2017-2018,789199,Off_MF
2017-2018,851104,DF
2017-2018,164291,MF
2017-2018,848680,Off_MF
2017-2018,858194,FW
2017-2018,600604,DF
2017-2018,863651,Off_MF
2017-2018,906278,MF
2017-2018,863153,Def_MF
2017-2018,169199,Off_MF
2017-2018,893064,DF
2017-2018,807301,FW
2017-2018,5612,FW
2017-2018,886289,FW
2017-2018,37818,DF
2017-2018,87890,FW
2017-2018,354172,FW
2017-2018,904991,DF
2017-2018,901361,FW
2017-2018,160909,Off_MF
2017-2018,836764,Off_MF
2017-2018,235644,DF
2017-2018,877608,FW
2017-2018,924149,FW
2017-2018,358942,Off_MF
2017-2018,111500,Off_MF
2017-2018,904555,FW
2017-2018,789192,FW
2017-2018,50306,MF
2017-2018,867442,FW
2017-2018,934351,DF
2017-2018,818942,Off_MF
2017-2018,191196,FW
2017-2018,581618,MF
2017-2018,826196,FW
2017-2018,826003,Off_MF
2017-2018,284455,Off_MF
2017-2018,866179,DF
2017-2018,19884,FW
2017-2018,195234,FW
2017-2018,882730,MF
2017-2018,815553,MF
2017-2018,933429,FW
2017-2018,877979,FW
2017-2018,127532,DF
