season,Comp,Player,Squad,Min,Pos
2017-2018,es La Liga,Álex Gálvez,Eibar,360,DF
2017-2018,fr Ligue 1,Mexer,Rennes,1201,DF
2018-2019,it Serie A,Pepín,Parma,77,MF
2018-2019,fr Ligue 1,Mexer,Rennes,2469,DF
2018-2019,fr Ligue 1,Jordan Pefok,Rennes,608,FW
2019-2020,es La Liga,Antonio Cortés,Granada,181,FW
2019-2020,es La Liga,Nico Ribaudo,Espanyol,182,FW
2019-2020,it Serie A,Anderson Lima,Lazio,62,Off_MF
2019-2020,fr Ligue 1,Hianga Mananga Mbock,Brest,141,MF
2019-2020,fr Ligue 1,Jordan Pefok,Rennes,440,FW
2020-2021,es La Liga,Jony Álamo,Elche,73,Def_MF
2020-2021,es La Liga,Emmanuel Amankwaa Akurugu,Getafe,45,DF
2020-2021,es La Liga,José Antonio Miranda,Getafe,26,Off_MF
2020-2021,es La Liga,Unai Arietaleanizbeaskoa,Eibar,47,FW
2020-2021,es La Liga,Alejandro Blesa,Levante,11,MF
2020-2021,es La Liga,Álex Cantero,Levante,237,FW
2020-2021,es La Liga,John Joe,Getafe,65,Off_MF
2020-2021,es La Liga,Lauti,Celta Vigo,14,MF
2020-2021,de Bundesliga,Moanes Dabbur,Hoffenheim,999,FW
2020-2021,de Bundesliga,Kasim Nuhu,Hoffenheim,987,DF
2020-2021,fr Ligue 1,Hianga Mananga Mbock,Brest,458,MF
2020-2021,fr Ligue 1,Loris Mouyokolo,Lorient,19,DF
2021-2022,es La Liga,Isaac Carcelen,Cádiz,1544,DF
2021-2022,es La Liga,Miguel Juan Llambrich,Espanyol,70,DF
2021-2022,es La Liga,Anthony Lozano,Cádiz,1672,FW
2021-2022,es La Liga,Tachi,Alavés,239,DF
2021-2022,es La Liga,Mircea Ţîrlea,Alavés,15,DF
2021-2022,it Serie A,Simeon Nwankwo,Salernitana,842,FW
2021-2022,it Serie A,Freddie Veseli,Salernitana,596,DF
2021-2022,fr Ligue 1,Vagner Gonçalves,Metz,86,FW
2021-2022,fr Ligue 1,Hianga Mananga Mbock,Brest,799,MF
