Season,Squad,Min_squad,90s_squad,Age_squad_mean,NumPlayers_squad,OffScore_squad,MidScore_squad,DefScore_squad,IntensityScore_squad,OverallScore_squad,Comp
2015-2016,Angers,38311.0,425.9999999999999,27.566881574482526,29,282.21904643518315,498.22162097623504,528.9602438501472,468.55862348690755,436.4669704205218,fr Ligue 1
2015-2016,Arsenal,37457.0,416.29999999999995,27.38513762447607,25,669.8326252252081,488.0733354496536,545.1744932204194,517.1995923396489,567.6934846317604,eng Premier League
2015-2016,Aston Villa,37705.0,418.79999999999995,27.084630685585466,29,291.12126520371777,391.8191214607785,572.1140226760035,486.00966072353475,418.35146978016655,eng Premier League
2015-2016,Atalanta,37898.0,421.1,28.503968547152887,32,524.6466687723379,382.9419223549852,551.9542313961672,489.9260758044315,486.51427417449673,it Serie A
2015-2016,Athletic Club,37428.0,415.7,28.141118948380893,25,514.1530329956294,515.5788205530206,542.8141983979808,516.3824741889821,524.1820173155436,es La Liga
2015-2016,Atlético Madrid,38754.0,430.8,26.47461165299066,23,650.180489756389,540.8438800922195,554.7911927071929,530.9908375495555,581.9385208519337,es La Liga
2015-2016,Augsburg,33623.0,373.5,27.815774915980132,27,336.2700990894095,447.13028960170135,542.0664271943153,495.83878236944514,441.82227196180867,de Bundesliga
2015-2016,Barcelona,37613.0,417.9,28.408055725414084,25,778.8490816110909,542.7476207527551,533.9843296950748,500.7766984619912,618.5270106863069,es La Liga
2015-2016,Bastia,37435.0,415.9,29.121966074529187,26,344.7935403386105,327.5162778627706,533.4811910061386,473.4077551764533,401.9303364025066,fr Ligue 1
2015-2016,Bayern Munich,33622.0,373.5,27.241511510320624,24,624.4680365622278,641.585152008732,488.22810642244986,483.4610266143966,584.7604316644698,de Bundesliga
2015-2016,Betis,37423.0,415.7,27.830994308313066,29,346.0493612853863,347.94446248011985,559.158119314317,495.7622951378542,417.717314359941,es La Liga
2015-2016,Bologna,37522.0,417.00000000000006,27.422285592452425,29,412.07243256301217,354.8617361146831,584.9953222760126,484.69010484606736,450.64316365123597,it Serie A
2015-2016,Bordeaux,38786.0,431.00000000000006,25.122541638735626,35,500.7317131975115,436.55124954617276,575.4121079186641,543.7432906183064,504.2316902207828,fr Ligue 1
2015-2016,Bournemouth,37964.0,421.79999999999995,28.127710462543458,28,366.9530615516171,411.00031367834777,570.0595127324714,491.6823955092997,449.3376293208121,eng Premier League
2015-2016,Caen,37644.0,418.4999999999999,28.604948995855917,23,379.3725989417278,349.9644019082943,559.5324518793066,504.9080602273612,429.62315090977626,fr Ligue 1
2015-2016,Carpi,33827.0,375.69999999999993,26.3240133621072,30,331.9333063798333,390.84286897430866,559.9455216934535,469.7131388182334,427.5738990158652,it Serie A
2015-2016,Celta Vigo,36071.0,401.00000000000006,26.359712788666798,26,461.7773050043095,573.4149758821574,544.9252434597031,488.8659385865605,526.7058414487234,es La Liga
2015-2016,Chelsea,37487.0,416.3,27.211689385653692,28,497.8748193923383,410.1669105273881,534.183286706068,520.0113416683619,480.7416722085981,eng Premier League
2015-2016,Chievo,38527.0,428.2,30.99505282010019,26,476.93940939374744,360.76026266830326,533.1063868065447,470.58847376415633,456.9353529561984,it Serie A
2015-2016,Crystal Palace,37327.0,414.70000000000005,28.163482197872856,28,349.3080765074241,411.5660863514794,545.0550580541332,475.617512912179,435.30974030434555,eng Premier League
2015-2016,Darmstadt 98,33669.0,374.1000000000001,27.971552466660725,23,360.0561929806055,484.69673601912757,572.352443393837,495.38569457918743,472.3684574645234,de Bundesliga
