Season,Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
2023-2024,1,Leverkusen,de GER,1,34,28,6,0,89,24,+65,90,2.65,73.6,29.9,+43.7,+1.29,29994,Victor Boniface - 14,Lukáš Hrádecký
2023-2024,2,Real Madrid,es ESP,1,38,29,8,1,87,26,+61,95,2.50,68.8,35.4,+33.4,+0.88,72061,Jude Bellingham - 19,Andriy Lunin
2023-2024,3,Inter,it ITA,1,38,29,7,2,89,22,+67,94,2.47,78.2,31.2,+47.1,+1.24,72838,Lautaro Martínez - 24,Yann Sommer
2023-2024,4,Manchester City,eng ENG,1,38,28,7,3,96,34,+62,91,2.39,80.5,35.6,+44.9,+1.18,53012,Erling Haaland - 27,Ederson
2023-2024,5,Arsenal,eng ENG,2,38,28,5,5,91,29,+62,89,2.34,76.1,27.9,+48.2,+1.27,60236,Bukayo Saka - 16,David Raya
2023-2024,6,Paris S-G,fr FRA,1,34,22,10,2,81,33,+48,76,2.24,68.8,40.0,+28.8,+0.85,46834,Kylian Mbappé - 27,Gianluigi Donnarumma
2023-2024,7,Barcelona,es ESP,2,38,26,7,5,79,44,+35,85,2.24,77.6,41.6,+35.9,+0.94,39846,Robert Lewandowski - 19,Marc-André ter Stegen
2023-2024,8,Liverpool,eng ENG,3,38,24,10,4,86,41,+45,82,2.16,87.8,45.7,+42.0,+1.11,55979,Mohamed Salah - 18,Alisson
2023-2024,9,Stuttgart,de GER,2,34,23,4,7,78,39,+39,73,2.15,70.9,38.1,+32.7,+0.96,55089,Serhou Guirassy - 28,Alexander Nübel
2023-2024,10,Girona,es ESP,3,38,25,6,7,85,46,+39,81,2.13,70.8,54.3,+16.5,+0.43,12520,Artem Dovbyk - 24,Paulo Gazzaniga
2023-2024,11,Bayern Munich,de GER,3,34,23,3,8,94,45,+49,72,2.12,85.2,32.1,+53.0,+1.56,75000,Harry Kane - 36,Manuel Neuer
2023-2024,12,Atlético Madrid,es ESP,4,38,24,4,10,70,43,+27,76,2.00,62.4,39.5,+23.0,+0.60,59121,Antoine Griezmann - 16,Jan Oblak
2023-2024,13,Milan,it ITA,2,38,22,9,7,76,49,+27,75,1.97,66.2,45.4,+20.8,+0.55,72000,Olivier Giroud - 15,Mike Maignan
2023-2024,14,Monaco,fr FRA,2,34,20,7,7,68,42,+26,67,1.97,55.0,43.5,+11.5,+0.34,7884,Wissam Ben Yedder - 16,Philipp Köhn
2023-2024,15,RB Leipzig,de GER,4,34,19,8,7,77,39,+38,65,1.91,65.6,40.1,+25.5,+0.75,44921,Loïs Openda - 24,Janis Blaswich
2023-2024,16,Juventus,it ITA,3,38,19,14,5,54,31,+23,71,1.87,54.6,30.1,+24.6,+0.65,38142,Dušan Vlahović - 16,Wojciech Szczęsny
2023-2024,17,Dortmund,de GER,5,34,18,9,7,68,43,+25,63,1.85,63.5,52.0,+11.5,+0.34,81305,Donyell Malen - 13,Gregor Kobel
2023-2024,18,Atalanta,it ITA,4,38,21,6,11,72,42,+30,69,1.82,57.8,41.1,+16.7,+0.44,14725,"Gianluca Scamacca, Teun Koopmeiners - 12",Marco Carnesecchi
2023-2024,19,Athletic Club,es ESP,5,38,19,11,8,61,37,+24,68,1.79,52.7,41.3,+11.4,+0.30,46112,Gorka Guruzeta - 14,Unai Simón
2023-2024,20,Bologna,it ITA,5,38,18,14,6,54,32,+22,68,1.79,47.9,37.1,+10.9,+0.29,25914,Joshua Zirkzee - 11,Łukasz Skorupski
2023-2024,21,Brest,fr FRA,3,34,17,10,7,53,34,+19,61,1.79,48.3,39.2,+9.1,+0.27,14513,Romain Del Castillo - 8,Marco Bizot
2023-2024,22,Aston Villa,eng ENG,4,38,20,8,10,76,61,+15,68,1.79,63.3,59.9,+3.4,+0.09,41858,Ollie Watkins - 19,Emiliano Martínez
2023-2024,23,Lille,fr FRA,4,34,16,11,7,52,34,+18,59,1.74,48.6,36.5,+12.2,+0.36,39932,Jonathan David - 19,Lucas Chevalier
2023-2024,24,Tottenham,eng ENG,5,38,20,6,12,74,61,+13,66,1.74,68.2,63.4,+4.8,+0.13,61482,Son Heung-min - 17,Guglielmo Vicario
