Season,Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper
2025-2026,1,Bayern Munich,de GER,1,14,12,2,0,51,11,40,38,2.71,39.4,9.4,30.0,2.14,D W W W D,75000,Harry Kane - 18,Manuel Neuer
2025-2026,2,Barcelona,es ESP,1,17,14,1,2,49,20,29,43,2.53,38.8,21.7,17.1,1.01,W W W W W,36275,Ferrán Torres - 11,Joan García
2025-2026,3,Villarreal,es ESP,3,15,11,2,2,31,13,18,35,2.33,24.9,16.2,8.7,0.58,W W W W W,17898,Alberto Moleiro - 6,Luiz Lúcio Reis Júnior
2025-2026,4,Lens,fr FRA,1,16,12,1,3,28,13,15,37,2.31,30.5,22.6,7.9,0.49,W W W W W,37306,Odsonne Édouard - 7,Robin Risser
2025-2026,5,Real Madrid,es ESP,2,17,12,3,2,34,16,18,39,2.29,39.7,19.1,20.5,1.21,D D W L W,73886,Kylian Mbappé - 17,Thibaut Courtois
2025-2026,6,Paris S-G,fr FRA,2,16,11,3,2,35,14,21,36,2.25,29.3,14.4,14.9,0.93,W W L W W,47676,"João Neves, Bradley Barcola - 5",Lucas Chevalier
2025-2026,7,Arsenal,eng ENG,1,16,11,3,2,30,10,20,36,2.25,26.5,9.6,16.9,1.06,W D W L W,60177,"Leandro Trossard, Viktor Gyökeres... - 4",David Raya
2025-2026,8,Inter,it ITA,1,15,11,0,4,34,14,20,33,2.2,27.3,13.4,13.9,0.93,W L W W W,71934,Lautaro Martínez - 8,Yann Sommer
2025-2026,9,Manchester City,eng ENG,2,16,11,1,4,38,16,22,34,2.13,30.3,17.6,12.7,0.79,L W W W W,52373,Erling Haaland - 17,Gianluigi Donnarumma
2025-2026,10,Milan,it ITA,2,15,9,5,1,24,13,11,32,2.13,23.3,16.9,6.4,0.43,D W W W D,73012,Christian Pulisic - 7,Mike Maignan
2025-2026,11,RB Leipzig,de GER,2,14,9,2,3,29,16,13,29,2.07,26.1,18.0,8.1,0.58,L W D W L,46837,"Christoph Baumgartner, Yan Diomandé - 6",Péter Gulácsi
2025-2026,12,Dortmund,de GER,3,14,8,5,1,24,12,12,29,2.07,21.6,14.4,7.2,0.52,D D W W D,81365,Serhou Guirassy - 5,Gregor Kobel
2025-2026,13,Napoli,it ITA,3,15,10,1,4,22,13,9,31,2.07,21.3,16.1,5.2,0.35,L W W W L,50716,"Kevin De Bruyne, Andre-Frank Zambo Anguissa... - 4",Vanja Milinković-Savić
2025-2026,14,Aston Villa,eng ENG,3,16,10,3,3,25,17,8,33,2.06,16.7,21.4,-4.7,-0.29,W W W W W,41503,Morgan Rogers - 5,Emiliano Martínez
2025-2026,15,Marseille,fr FRA,3,16,10,2,4,36,15,21,32,2.0,29.8,17.0,12.8,0.8,W W D L W,64973,Mason Greenwood - 11,Gerónimo Rulli
2025-2026,16,Atlético Madrid,es ESP,4,17,10,4,3,30,16,14,34,2.0,28.2,19.6,8.7,0.51,W W L L W,61932,Julián Álvarez - 7,Jan Oblak
2025-2026,17,Lille,fr FRA,4,16,10,2,4,33,20,13,32,2.0,28.8,21.4,7.3,0.46,L W W W W,43371,"Hákon Arnar Haraldsson, Hamza Igamane - 5",Berke Özer
2025-2026,18,Roma,it ITA,4,15,10,0,5,16,8,8,30,2.0,18.1,16.7,1.4,0.09,W W L L W,62671,Matìas Soulé - 4,Mile Svilar
2025-2026,19,Espanyol,es ESP,5,16,9,3,4,20,16,4,30,1.88,23.9,17.5,6.4,0.4,L W W W W,28743,Pere Milla - 5,Marko Dmitrović
2025-2026,20,Leverkusen,de GER,4,14,8,2,4,30,19,11,26,1.86,24.3,16.0,8.3,0.59,W W L L W,29988,Patrik Schick - 5,Mark Flekken
2025-2026,21,Hoffenheim,de GER,5,14,8,2,4,29,20,9,26,1.86,22.4,21.4,1.0,0.07,W D W L W,27358,Fisnik Asllani - 6,Oliver Baumann
2025-2026,22,Stuttgart,de GER,6,14,8,1,5,25,22,3,25,1.79,20.6,20.2,0.4,0.03,W D L L W,59583,Deniz Undav - 8,Alexander Nübel
2025-2026,23,Chelsea,eng ENG,4,16,8,4,4,27,15,12,28,1.75,26.9,19.7,7.2,0.45,W D L D W,39611,Pedro Neto - 5,Robert Sánchez
2025-2026,24,Juventus,it ITA,5,15,7,5,3,19,14,5,26,1.73,20.6,13.3,7.3,0.49,D D W L W,40831,Kenan Yıldız - 5,Michele Di Gregorio
2025-2026,25,Eint Frankfurt,de GER,7,14,7,3,4,29,29,0,24,1.71,20.7,18.7,2.0,0.14,W W D L W,59043,Jonathan Burkardt - 8,Michael Zetterer
2025-2026,26,Lyon,fr FRA,5,16,8,3,5,22,16,6,27,1.69,25.6,20.1,5.5,0.34,L D W L W,49216,Pavel Šulc - 6,Dominik Greif
2025-2026,27,Rennes,fr FRA,6,16,7,6,3,27,24,3,27,1.69,24.3,25.1,-0.8,-0.05,W W W L W,27534,Esteban Lepaul - 8,Brice Samba
2025-2026,28,Bologna,it ITA,6,15,7,4,4,23,13,10,25,1.67,21.0,16.9,4.1,0.28,W W L D L,28351,Riccardo Orsolini - 6,Łukasz Skorupski
2025-2026,29,Crystal Palace,eng ENG,5,16,7,5,4,20,15,5,26,1.63,26.2,18.5,7.7,0.48,W L W W L,25005,Jean-Philippe Mateta - 7,Dean Henderson
2025-2026,30,Manchester Utd,eng ENG,6,16,7,5,4,30,26,4,26,1.63,30.2,21.7,8.4,0.53,L W D W D,74011,Bryan Mbeumo - 6,Senne Lammens
2025-2026,31,Liverpool,eng ENG,7,16,8,2,6,26,24,2,26,1.63,25.9,19.6,6.3,0.39,L W D D W,60356,Hugo Ekitike - 7,Alisson
2025-2026,32,Sunderland,eng ENG,8,16,7,5,4,19,17,2,26,1.63,13.3,21.0,-7.7,-0.48,L W D L W,45968,Wilson Isidor - 4,Robin Roefs
2025-2026,33,Como,it ITA,7,15,6,6,3,19,12,7,24,1.6,19.3,15.6,3.7,0.25,D W W L L,11202,Nicolás Paz - 5,Jean Butez
2025-2026,34,Betis,es ESP,6,16,6,7,3,25,19,6,25,1.56,23.0,18.4,4.6,0.29,D D W L D,58849,Cucho - 6,Álvaro Vallés
2025-2026,35,Everton,eng ENG,9,16,7,3,6,18,19,-1,24,1.5,19.5,21.9,-2.3,-0.15,W L W W L,52099,"Kiernan Dewsbury-Hall, Iliman Ndiaye - 4",Jordan Pickford
2025-2026,36,Lazio,it ITA,8,15,6,4,5,17,11,6,22,1.47,16.6,19.7,-3.1,-0.21,L W L D W,42561,"Mattia Zaccagni, Matteo Cancellieri - 3",Ivan Provedel
2025-2026,37,Toulouse,fr FRA,7,16,6,5,5,24,19,5,23,1.44,23.1,19.5,3.6,0.22,D L D W W,23843,Yann Gboho - 5,Guillaume Restes
2025-2026,38,Strasbourg,fr FRA,8,16,7,2,7,25,20,5,23,1.44,24.6,18.5,6.1,0.38,W L L L D,25692,Joaquín Panichelli - 9,Mike Penders
2025-2026,39,Brighton,eng ENG,10,16,6,5,5,25,23,2,23,1.44,25.4,21.2,4.2,0.26,W W L D L,31448,Danny Welbeck - 7,Bart Verbruggen
2025-2026,40,Monaco,fr FRA,9,16,7,2,7,26,27,-1,23,1.44,31.1,27.5,3.6,0.22,L L W L L,9231,Ansu Fati - 5,Philipp Köhn
2025-2026,41,Sassuolo,it ITA,9,15,6,3,6,21,19,2,21,1.4,16.2,20.5,-4.4,-0.29,W D L W D,16469,"Domenico Berardi, Andrea Pinamonti - 4",Arijanet Muric
