Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,A-xAG,KP,1/3,PPA,CrsPA,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Comp
1,Suleiman Abdullahi,ng NGA,"MF,FW",Union Berlin,21,1996,19,12,1072,11.9,2,3,5,2,0,0,2,0,0.42,1,ng NGA,"MF,FW",21,1996,11.9,2,42,17,40.5,3.53,1.43,0.05,0.12,,0,0,1,ng NGA,"MF,FW",21,1996,11.9,,,,,,3,,,,,,1,ng NGA,"MF,FW",21,1996,11.9,,,,,,,26,,,,,,,,,1,ng NGA,"MF,FW",21,1996,11.9,,,,,,,,,,,1,ng NGA,"MF,FW",21,1996,11.9,,9,,,,,,,,,,8,,,,1,ng NGA,"MF,FW",21,1996,11.9,,,,,,,,,,,,,,,,,,,,,1,ng NGA,"MF,FW",21,1996,19,1072,56,35.0,11.9,12,73,4,7,28,2,1.47,23,12,+11,+0.92,+0.47,1,ng NGA,"MF,FW",21,1996,11.9,2,0,0,21,12,2,26,8,9,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
2,Elias Abouchabaka,de GER,MF,Greuther Fürth,18,2000,2,0,38,0.4,0,0,0,0,0,0,0,0,0.00,2,de GER,MF,18,2000,0.4,0,1,0,0.0,2.37,0.00,0.00,,,0,0,2,de GER,MF,18,2000,0.4,,,,,,0,,,,,,2,de GER,MF,18,2000,0.4,,,,,,,1,,,,,,,,,2,de GER,MF,18,2000,0.4,,,,,,,,,,,2,de GER,MF,18,2000,0.4,,1,,,,,,,,,,0,,,,2,de GER,MF,18,2000,0.4,,,,,,,,,,,,,,,,,,,,,2,de GER,MF,18,2000,2,38,19,1.2,0.4,0,,0,2,19,4,0.00,0,0,0,0.00,+0.57,2,de GER,MF,18,2000,0.4,0,0,0,0,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
3,Sargis Adamyan,am ARM,"MF,FW",Jahn R'burg,25,1993,33,33,2838,31.5,15,9,24,14,1,1,9,0,0.73,3,am ARM,"MF,FW",25,1993,31.5,15,105,39,37.1,3.33,1.24,0.13,0.36,,1,1,3,am ARM,"MF,FW",25,1993,31.5,,,,,,9,,,,,,3,am ARM,"MF,FW",25,1993,31.5,,,,,,,70,,,,,,,,,3,am ARM,"MF,FW",25,1993,31.5,,,,,,,,,,,3,am ARM,"MF,FW",25,1993,31.5,,29,,,,,,,,,,17,,,,3,am ARM,"MF,FW",25,1993,31.5,,,,,,,,,,,,,,,,,,,,,4,am ARM,"MF,FW",25,1993,33,2838,86,92.7,31.5,33,86,18,0,,0,1.39,50,51,-1,-0.03,-0.84,3,am ARM,"MF,FW",25,1993,31.5,9,0,0,57,47,15,70,17,29,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
4,Tim Albutat,de GER,MF,MSV Duisburg,25,1992,16,10,881,9.8,1,0,1,1,0,0,4,1,0.10,4,de GER,MF,25,1992,9.8,1,4,1,25.0,0.41,0.10,0.25,1.00,,0,0,4,de GER,MF,25,1992,9.8,,,,,,0,,,,,,4,de GER,MF,25,1992,9.8,,,,,,,7,,,,,,,,,4,de GER,MF,25,1992,9.8,,,,,,,,,,,4,de GER,MF,25,1992,9.8,,9,,,,,,,,,,11,,,,4,de GER,MF,25,1992,9.8,,,,,,,,,,,,,,,,,,,,,5,de GER,MF,25,1992,16,881,55,28.8,9.8,10,76,5,6,21,10,0.81,11,18,-7,-0.72,+0.07,4,de GER,MF,25,1992,9.8,4,1,1,19,16,0,7,11,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
5,Sami Allagui,tn TUN,"FW,MF",St. Pauli,32,1986,22,19,1512,16.8,4,1,5,4,0,0,3,0,0.30,5,tn TUN,"FW,MF",32,1986,16.8,4,35,12,34.3,2.08,0.71,0.11,0.33,,0,0,5,tn TUN,"FW,MF",32,1986,16.8,,,,,,1,,,,,,5,tn TUN,"FW,MF",32,1986,16.8,,,,,,,12,,,,,,,,,5,tn TUN,"FW,MF",32,1986,16.8,,,,,,,,,,,5,tn TUN,"FW,MF",32,1986,16.8,,11,,,,,,,,,,5,,,,5,tn TUN,"FW,MF",32,1986,16.8,,,,,,,,,,,,,,,,,,,,,6,tn TUN,"FW,MF",32,1986,22,1512,69,49.4,16.8,19,78,6,3,11,5,1.45,24,23,+1,+0.06,+0.52,5,tn TUN,"FW,MF",32,1986,16.8,3,0,0,29,22,29,12,5,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
6,Frederic Ananou,tg TOG,"DF,MF",Ingolstadt 04,20,1997,15,15,1253,13.9,1,1,2,1,0,0,4,0,0.14,6,tg TOG,"DF,MF",20,1997,13.9,1,7,2,28.6,0.50,0.14,0.14,0.50,,0,0,6,tg TOG,"DF,MF",20,1997,13.9,,,,,,1,,,,,,6,tg TOG,"DF,MF",20,1997,13.9,,,,,,,34,,,,,,,,,6,tg TOG,"DF,MF",20,1997,13.9,,,,,,,,,,,6,tg TOG,"DF,MF",20,1997,13.9,,21,,,,,,,,,,13,,,,6,tg TOG,"DF,MF",20,1997,13.9,,,,,,,,,,,,,,,,,,,,,8,tg TOG,"DF,MF",20,1997,15,1253,84,40.9,13.9,15,84,12,0,,2,0.67,14,25,-11,-0.79,-0.74,6,tg TOG,"DF,MF",20,1997,13.9,4,0,0,30,23,0,34,13,21,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
7,Sebastian Andersson,se SWE,FW,Union Berlin,27,1991,34,28,2615,29.1,12,5,17,10,2,2,3,0,0.52,7,se SWE,FW,27,1991,29.1,12,90,31,34.4,3.10,1.07,0.11,0.32,,2,2,7,se SWE,FW,27,1991,29.1,,,,,,5,,,,,,7,se SWE,FW,27,1991,29.1,,,,,,,14,,,,,,,,,7,se SWE,FW,27,1991,29.1,,,,,,,,,,,7,se SWE,FW,27,1991,29.1,,9,,,,,,,,,,8,,,,7,se SWE,FW,27,1991,29.1,,,,,,,,,,,,,,,,,,,,,9,se SWE,FW,27,1991,34,2615,77,85.5,29.1,28,88,22,6,26,0,1.68,42,30,+12,+0.41,-1.41,7,se SWE,FW,27,1991,29.1,3,0,0,97,38,12,14,8,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
8,Robert Andrich,de GER,MF,Heidenheim,23,1994,25,20,1707,19.0,4,2,6,4,0,0,6,1,0.32,8,de GER,MF,23,1994,19.0,4,45,13,28.9,2.37,0.69,0.09,0.31,,0,0,8,de GER,MF,23,1994,19.0,,,,,,2,,,,,,8,de GER,MF,23,1994,19.0,,,,,,,49,,,,,,,,,8,de GER,MF,23,1994,19.0,,,,,,,,,,,8,de GER,MF,23,1994,19.0,,34,,,,,,,,,,35,,,,8,de GER,MF,23,1994,19.0,,,,,,,,,,,,,,,,,,,,,10,de GER,MF,23,1994,25,1707,68,55.8,19.0,20,78,8,5,29,6,1.38,31,28,+3,+0.16,-0.31,8,de GER,MF,23,1994,19.0,6,1,1,45,23,2,49,35,34,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
9,Christopher Antwi-Adjei,gh GHA,MF,Paderborn 07,24,1994,31,23,2076,23.1,10,3,13,10,0,0,3,0,0.56,9,gh GHA,MF,24,1994,23.1,10,62,26,41.9,2.69,1.13,0.16,0.38,,0,0,9,gh GHA,MF,24,1994,23.1,,,,,,3,,,,,,9,gh GHA,MF,24,1994,23.1,,,,,,,41,,,,,,,,,9,gh GHA,MF,24,1994,23.1,,,,,,,,,,,9,gh GHA,MF,24,1994,23.1,,23,,,,,,,,,,4,,,,9,gh GHA,MF,24,1994,23.1,,,,,,,,,,,,,,,,,,,,,11,gh GHA,MF,24,1994,31,2076,67,67.8,23.1,23,84,15,8,17,3,1.65,45,31,+14,+0.61,-0.49,9,gh GHA,MF,24,1994,23.1,3,0,0,31,31,10,41,4,23,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
10,Aias Aosman,sy SYR,"FW,MF",Dresden,23,1994,19,16,1301,14.5,3,1,4,3,0,0,6,0,0.28,10,sy SYR,"FW,MF",23,1994,14.5,3,21,7,33.3,1.45,0.48,0.14,0.43,,0,0,10,sy SYR,"FW,MF",23,1994,14.5,,,,,,1,,,,,,10,sy SYR,"FW,MF",23,1994,14.5,,,,,,,8,,,,,,,,,10,sy SYR,"FW,MF",23,1994,14.5,,,,,,,,,,,10,sy SYR,"FW,MF",23,1994,14.5,,14,,,,,,,,,,17,,,,10,sy SYR,"FW,MF",23,1994,14.5,,,,,,,,,,,,,,,,,,,,,12,sy SYR,"FW,MF",23,1994,19,1301,68,42.5,14.5,16,77,5,3,21,6,1.11,14,19,-5,-0.35,-0.24,10,sy SYR,"FW,MF",23,1994,14.5,6,0,0,23,22,3,8,17,14,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. Bundesliga
