Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Brenden Aaronson,us USA,"FW,MF",Leeds United,eng Premier League,25.0,2000,14,9,817,9.1,1,2,3,1,0,0,1,0,2.0,2.0,1.5,3.5,20,24,47,0.33,0.38,1,us USA,"FW,MF",eng Premier League,25-051,2000,9.1,1,18,7,38.9,1.98,0.77,0.06,0.14,15.4,0,0,0,2.0,2.0,0.11,-1.0,-1.0,1,us USA,"FW,MF",eng Premier League,25-051,2000,9.1,186,234,79.5,2599,612,2,1.5,1.5,+0.5,12,15,11,4,24,1,us USA,"FW,MF",eng Premier League,25-051,2000,9.1,234,211,20,3,2,0,15,5,0,0,0,0,186,3,7,1,us USA,"FW,MF",eng Premier League,25-051,2000,9.1,29,3.19,16,0,4,5,3,1,5,0.55,1,us USA,"FW,MF",eng Premier League,25-051,2000,9.1,25,13,11,9,5,29,48.3,15,15,1,14,7,32,10,0,1,us USA,"FW,MF",eng Premier League,25-051,2000,9.1,384,7,64,172,154,24,384,32,10,31.3,18,56.3,202,1225,559,20,13,3,27,20,223,47,1,us USA,"FW,MF",eng Premier League,25-051,2000,14,817,58,60.5,9.1,9,79,1,5,21,1,0.86,14,14,0,0.00,+1.69,11.3,12.3,-1.0,-0.11,1,us USA,"FW,MF",eng Premier League,25-051,2000,9.1,1,0,0,5,23,2,15,7,13,0,0,0,41,7,9,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Zach Abbott,eng ENG,DF,Nott'ham Forest,eng Premier League,19.0,2006,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,2,eng ENG,DF,eng Premier League,19-213,2006,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2,eng ENG,DF,eng Premier League,19-213,2006,0.5,17,26,65.4,266,110,0,0.0,0.0,0.0,0,1,0,0,1,2,eng ENG,DF,eng Premier League,19-213,2006,0.5,26,18,8,1,0,0,0,7,0,0,0,0,17,0,0,2,eng ENG,DF,eng Premier League,19-213,2006,0.5,0,0.00,0,0,0,0,0,0,0,0.00,2,eng ENG,DF,eng Premier League,19-213,2006,0.5,1,1,1,0,0,1,100.0,0,0,0,0,0,1,7,0,2,eng ENG,DF,eng Premier League,19-213,2006,0.5,35,3,14,16,5,0,35,0,0,,0,,8,38,13,0,0,0,1,0,15,1,2,eng ENG,DF,eng Premier League,19-213,2006,1,45,45,3.3,0.5,0,,0,1,45,4,0.00,0,1,-1,-2.00,-1.31,0.5,0.6,-0.2,-0.34,2,eng ENG,DF,eng Premier League,19-213,2006,0.5,0,0,0,0,1,0,0,0,1,0,0,0,1,3,1,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,19.0,2006,7,0,139,1.5,0,0,0,0,0,0,0,0,0.9,0.9,0.1,1.0,16,0,33,0.00,0.65,3,ma MAR,"MF,FW",es La Liga,19-334,2006,1.5,0,5,1,20.0,3.24,0.65,0.00,0.00,18.7,0,0,0,0.9,0.9,0.18,-0.9,-0.9,3,ma MAR,"MF,FW",es La Liga,19-334,2006,1.5,43,61,70.5,677,68,0,0.1,0.1,-0.1,3,1,1,1,0,3,ma MAR,"MF,FW",es La Liga,19-334,2006,1.5,61,53,8,0,0,0,13,7,0,0,0,0,43,0,5,3,ma MAR,"MF,FW",es La Liga,19-334,2006,1.5,6,3.88,5,0,1,0,0,0,0,0.00,3,ma MAR,"MF,FW",es La Liga,19-334,2006,1.5,1,0,0,1,0,4,25.0,3,0,0,0,1,2,5,0,3,ma MAR,"MF,FW",es La Liga,19-334,2006,1.5,87,2,8,24,56,5,87,9,3,33.3,4,44.4,58,546,330,16,6,4,3,3,63,33,4,ma MAR,"MF,FW",es La Liga,19-334,2006,7,139,20,10.3,1.5,0,,0,7,20,8,1.43,3,3,0,0.00,+0.07,3.8,3.1,+0.7,+0.43,3,ma MAR,"MF,FW",es La Liga,19-334,2006,1.5,0,0,0,1,2,1,13,1,0,0,0,0,3,2,4,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26.0,1999,12,10,854,9.5,1,0,1,0,1,1,0,0,1.1,0.3,0.4,0.7,35,76,12,0.00,0.16,4,dz ALG,MF,fr Ligue 1,26-025,1999,9.5,1,6,1,16.7,0.63,0.11,0.00,0.00,23.9,0,1,1,1.1,0.3,0.06,-0.1,-0.3,4,dz ALG,MF,fr Ligue 1,26-025,1999,9.5,480,558,86.0,8091,2393,0,0.4,0.7,-0.4,6,51,12,0,76,4,dz ALG,MF,fr Ligue 1,26-025,1999,9.5,558,528,29,14,4,1,9,5,5,4,1,0,480,1,9,4,dz ALG,MF,fr Ligue 1,26-025,1999,9.5,24,2.53,18,3,2,1,0,0,2,0.21,4,dz ALG,MF,fr Ligue 1,26-025,1999,9.5,19,14,8,8,3,19,73.7,5,14,3,11,13,32,11,1,4,dz ALG,MF,fr Ligue 1,26-025,1999,9.5,670,19,169,407,105,7,669,27,12,44.4,15,55.6,373,2173,1366,35,24,1,13,10,475,12,5,dz ALG,MF,fr Ligue 1,26-025,1999,12,854,71,63.3,9.5,10,80,4,2,25,0,1.25,9,12,-3,-0.32,-0.13,8.6,19.2,-10.6,-1.11,4,dz ALG,MF,fr Ligue 1,26-025,1999,9.5,0,0,0,15,10,1,9,13,14,0,0,0,55,8,2,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31.0,1993,8,6,443,4.9,0,0,0,0,0,0,3,1,0.0,0.0,0.5,0.5,12,5,17,0.00,0.10,5,tn TUN,"DF,MF",fr Ligue 1,31-357,1993,4.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,5,tn TUN,"DF,MF",fr Ligue 1,31-357,1993,4.9,128,170,75.3,1916,637,0,0.5,0.3,-0.5,6,11,4,2,5,5,tn TUN,"DF,MF",fr Ligue 1,31-357,1993,4.9,170,137,33,4,0,1,12,29,0,0,0,0,128,0,7,5,tn TUN,"DF,MF",fr Ligue 1,31-357,1993,4.9,10,2.11,9,1,0,0,0,0,0,0.00,5,tn TUN,"DF,MF",fr Ligue 1,31-357,1993,4.9,9,3,5,3,1,3,33.3,2,1,0,1,3,12,11,1,5,tn TUN,"DF,MF",fr Ligue 1,31-357,1993,4.9,219,15,64,93,63,6,219,11,4,36.4,6,54.5,105,599,334,12,5,2,12,0,127,17,6,tn TUN,"DF,MF",fr Ligue 1,31-357,1993,8,443,55,32.8,4.9,6,65,2,2,27,1,0.63,5,4,+1,+0.20,+1.10,4.2,6.4,-2.3,-0.48,5,tn TUN,"DF,MF",fr Ligue 1,31-357,1993,4.9,3,1,1,8,7,0,12,3,3,0,0,0,19,7,8,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25.0,2000,10,7,485,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,8,5,0.00,0.00,6,gh GHA,MF,fr Ligue 1,25-261,2000,5.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,6,gh GHA,MF,fr Ligue 1,25-261,2000,5.4,242,259,93.4,3544,746,0,0.0,0.1,0.0,1,15,1,0,8,6,gh GHA,MF,fr Ligue 1,25-261,2000,5.4,259,254,5,5,1,1,1,0,0,0,0,0,242,0,3,6,gh GHA,MF,fr Ligue 1,25-261,2000,5.4,5,0.93,5,0,0,0,0,0,1,0.19,6,gh GHA,MF,fr Ligue 1,25-261,2000,5.4,7,2,5,1,1,8,62.5,3,2,0,2,7,14,3,0,6,gh GHA,MF,fr Ligue 1,25-261,2000,5.4,292,8,64,198,31,3,292,3,1,33.3,2,66.7,179,921,378,5,4,2,7,4,216,5,7,gh GHA,MF,fr Ligue 1,25-261,2000,10,485,49,35.9,5.4,7,63,0,3,14,5,1.10,9,12,-3,-0.56,-0.04,5.7,9.3,-3.6,-0.67,6,gh GHA,MF,fr Ligue 1,25-261,2000,5.4,1,0,0,9,6,0,1,7,2,0,0,0,19,4,3,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Saud Abdulhamid,sa KSA,DF,Lens,fr Ligue 1,26.0,1999,10,1,217,2.4,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,3,14,24,0.41,0.21,7,sa KSA,DF,fr Ligue 1,26-147,1999,2.4,0,1,0,0.0,0.41,0.00,0.00,,11.7,0,0,0,0.0,0.0,0.05,0.0,0.0,7,sa KSA,DF,fr Ligue 1,26-147,1999,2.4,116,145,80.0,1722,575,1,0.5,0.8,+0.5,2,4,3,0,14,7,sa KSA,DF,fr Ligue 1,26-147,1999,2.4,145,124,21,0,0,0,10,21,0,0,0,0,116,0,3,7,sa KSA,DF,fr Ligue 1,26-147,1999,2.4,4,1.67,4,0,0,0,0,0,1,0.42,7,sa KSA,DF,fr Ligue 1,26-147,1999,2.4,10,6,7,2,1,11,63.6,4,4,1,3,2,12,4,0,7,sa KSA,DF,fr Ligue 1,26-147,1999,2.4,173,6,37,65,72,8,173,6,1,16.7,4,66.7,63,262,129,3,0,2,4,1,104,24,8,sa KSA,DF,fr Ligue 1,26-147,1999,10,217,22,16.1,2.4,1,90,1,9,14,4,1.90,3,2,+1,+0.41,-0.54,4.8,4.8,0.0,+0.01,7,sa KSA,DF,fr Ligue 1,26-147,1999,2.4,0,0,0,3,2,0,10,2,6,0,1,0,10,2,2,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32.0,1993,14,14,1215,13.5,1,0,1,1,0,0,5,0,0.6,0.6,0.9,1.5,16,72,13,0.07,0.11,8,fr FRA,MF,fr Ligue 1,32-314,1993,13.5,1,12,3,25.0,0.89,0.22,0.08,0.33,23.2,0,0,0,0.6,0.6,0.05,+0.4,+0.4,8,fr FRA,MF,fr Ligue 1,32-314,1993,13.5,708,813,87.1,13244,3980,0,0.9,0.6,-0.9,10,83,8,2,72,8,fr FRA,MF,fr Ligue 1,32-314,1993,13.5,813,762,48,40,1,7,3,0,0,0,0,0,708,3,9,8,fr FRA,MF,fr Ligue 1,32-314,1993,13.5,32,2.37,27,1,1,2,1,0,1,0.07,8,fr FRA,MF,fr Ligue 1,32-314,1993,13.5,21,13,10,6,5,22,40.9,13,5,0,5,12,33,25,1,8,fr FRA,MF,fr Ligue 1,32-314,1993,13.5,907,47,262,520,131,8,907,12,5,41.7,7,58.3,578,2432,1368,16,13,2,8,8,674,13,9,fr FRA,MF,fr Ligue 1,32-314,1993,14,1215,87,90.0,13.5,14,87,11,0,,0,1.14,18,26,-8,-0.59,+0.07,19.8,19.0,+0.8,+0.06,8,fr FRA,MF,fr Ligue 1,32-314,1993,13.5,5,0,0,17,11,0,3,12,13,0,1,0,60,9,6,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22.0,2003,15,12,1158,12.9,2,2,4,2,0,1,2,0,3.5,2.7,1.3,4.0,50,28,74,0.31,0.37,9,fr FRA,"FW,MF",fr Ligue 1,22-259,2003,12.9,2,42,10,23.8,3.26,0.78,0.05,0.20,19.3,3,0,1,3.5,2.7,0.06,-1.5,-0.7,9,fr FRA,"FW,MF",fr Ligue 1,22-259,2003,12.9,133,200,66.5,1995,680,2,1.3,1.6,+0.7,13,16,13,2,28,9,fr FRA,"FW,MF",fr Ligue 1,22-259,2003,12.9,200,197,3,1,0,1,16,0,0,0,0,0,133,0,11,9,fr FRA,"FW,MF",fr Ligue 1,22-259,2003,12.9,43,3.34,23,0,9,6,5,0,3,0.23,9,fr FRA,"FW,MF",fr Ligue 1,22-259,2003,12.9,12,7,5,4,3,8,62.5,3,3,0,3,2,14,7,0,9,fr FRA,"FW,MF",fr Ligue 1,22-259,2003,12.9,368,5,46,135,205,70,367,63,31,49.2,30,47.6,234,2116,1320,50,27,25,30,19,257,74,10,fr FRA,"FW,MF",fr Ligue 1,22-259,2003,15,1158,77,85.8,12.9,12,89,10,3,29,0,0.73,12,23,-11,-0.85,-0.85,11.2,23.8,-12.6,-0.98,9,fr FRA,"FW,MF",fr Ligue 1,22-259,2003,12.9,2,0,0,17,28,1,16,2,7,1,0,0,40,16,20,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Abner,br BRA,DF,Lyon,fr Ligue 1,25.0,2000,9,9,720,8.0,1,0,1,1,0,0,2,1,0.9,0.9,0.4,1.2,14,38,38,0.12,0.16,10,br BRA,DF,fr Ligue 1,25-199,2000,8.0,1,8,2,25.0,1.00,0.25,0.13,0.50,12.2,0,0,0,0.9,0.9,0.11,+0.1,+0.1,10,br BRA,DF,fr Ligue 1,25-199,2000,8.0,306,374,81.8,4998,1940,0,0.4,0.4,-0.4,5,34,9,2,38,10,br BRA,DF,fr Ligue 1,25-199,2000,8.0,374,316,56,6,1,2,23,44,6,3,1,0,306,2,8,10,br BRA,DF,fr Ligue 1,25-199,2000,8.0,18,2.25,11,1,3,3,0,0,1,0.12,10,br BRA,DF,fr Ligue 1,25-199,2000,8.0,9,6,6,3,0,9,66.7,3,4,1,3,4,13,17,0,10,br BRA,DF,fr Ligue 1,25-199,2000,8.0,432,19,114,189,131,20,432,7,3,42.9,4,57.1,224,991,632,14,5,3,5,7,294,38,11,br BRA,DF,fr Ligue 1,25-199,2000,9,720,80,53.3,8.0,9,80,5,0,,1,1.56,11,7,+4,+0.50,+0.36,13.7,11.0,+2.7,+0.33,10,br BRA,DF,fr Ligue 1,25-199,2000,8.0,2,1,0,10,2,0,23,4,6,0,0,0,21,4,4,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
