Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,34,32,2881,32.0,0,2,2,0,0,0,8,0,0.8,0.8,1.7,2.5,0.06,0.08,78,117,85,13,2,15.4,0.41,0.06,0.00,0.00,19.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8,1107,1469,75.4,16588,6133,2,1.7,1.7,+0.3,20,50,37,9,117,1130,332,17,5,4,50,315,0,0,0,0,1107,64,44,49,15,0,55,67.3,18,39,19,20,28,92,96,1,46,1.44,34,3,2,3,3,1,3,0.09,1841,160,721,703,440,23,1841,68,34,50.0,34,50.0,953,6454,3377,78,47,12,38,23,1030,85,8,0,0,27,52,1,50,28,44,0,2,1,154,13,50,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,34,34,2983,33.1,2,0,2,2,0,0,5,1,1.2,1.2,0.8,2.0,0.06,0.06,23,119,14,18,6,33.3,0.54,0.18,0.11,0.33,18.3,0,0,0,1.2,1.2,0.07,+0.8,+0.8,1284,1578,81.4,25516,9586,0,0.8,0.6,-0.8,9,95,7,0,119,1471,101,89,0,32,4,9,0,0,0,0,1284,48,27,34,14,0,32,50.0,16,50,25,25,68,116,104,0,22,0.66,17,0,2,1,0,2,1,0.03,1919,212,1017,843,84,24,1919,18,14,77.8,4,22.2,1194,6451,3558,23,19,0,28,13,1202,14,5,1,0,39,25,0,4,68,27,0,1,0,195,62,38,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,31,29,2462,27.4,1,0,1,1,0,0,12,3,0.7,0.7,0.9,1.6,0.04,0.06,24,108,47,18,5,27.8,0.66,0.18,0.06,0.20,21.5,0,0,0,0.7,0.7,0.04,+0.3,+0.3,1535,1701,90.2,25518,5456,0,0.9,0.8,-0.9,17,87,13,1,108,1678,21,17,1,3,14,4,0,0,0,0,1535,43,23,25,16,2,57,35.1,37,18,1,17,42,85,15,0,50,1.83,41,0,0,4,4,1,3,0.11,1948,39,557,1146,261,16,1948,41,26,63.4,15,36.6,1386,6570,2687,24,23,3,42,30,1481,47,12,3,2,43,37,0,14,42,23,0,0,0,186,17,20,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,34,34,2956,32.8,0,2,2,0,0,0,9,0,1.5,1.5,3.7,5.1,0.06,0.16,30,171,73,29,7,24.1,0.88,0.21,0.00,0.00,24.2,0,0,0,1.5,1.5,0.05,-1.5,-1.5,1342,1660,80.8,23767,6837,2,3.7,2.6,-1.7,35,147,23,9,171,1617,35,25,7,21,37,8,2,0,1,0,1342,110,60,44,53,13,166,42.8,95,58,1,57,55,165,13,0,83,2.53,67,2,3,1,7,3,9,0.27,2032,24,404,1298,357,13,2032,61,39,63.9,22,36.1,1311,5629,2353,30,39,3,52,40,1410,73,9,0,0,41,69,1,37,55,60,0,0,0,264,11,7,61.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,4,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,3,7,42.9,46,0,0,0.0,0.0,0.0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,1,2.00,1,0,0,0,0,0,0,0.00,12,0,0,5,8,1,12,0,0,,0,,7,11,1,0,0,0,3,0,9,4,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,24,5,726,8.1,0,1,1,0,0,0,3,0,1.8,1.8,1.3,3.2,0.12,0.39,14,17,38,18,4,22.2,2.23,0.50,0.00,0.00,16.7,0,0,0,1.8,1.8,0.10,-1.8,-1.8,84,137,61.3,1009,278,1,1.3,0.6,-0.3,7,5,6,0,17,129,6,0,2,0,3,0,0,0,0,0,84,11,7,4,5,2,10,20.0,8,12,1,11,4,15,8,0,15,1.85,10,0,0,2,2,1,2,0.25,246,6,24,108,115,23,246,20,7,35.0,13,65.0,131,629,266,14,5,6,29,10,160,38,3,0,0,17,11,15,3,4,7,0,0,0,28,19,30,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,7,1,103,1.1,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0.00,0.24,1,2,6,2,0,0.0,1.75,0.00,0.00,,9.5,0,0,0,0.3,0.3,0.14,-0.3,-0.3,7,9,77.8,72,15,0,0.0,0.0,0.0,0,0,1,0,2,9,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,0,0.00,0,0,0,0,0,0,0,0.00,20,1,1,6,13,3,20,6,3,50.0,3,50.0,11,55,17,1,1,0,1,3,12,6,0,0,0,2,1,0,0,0,0,0,0,0,0,0,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,37,36,3084,34.3,17,4,21,14,3,3,9,0,20.7,18.4,4.8,23.2,0.53,0.74,41,70,199,92,35,38.0,2.68,1.02,0.15,0.40,12.9,3,3,3,20.7,18.4,0.20,-3.7,-4.4,485,696,69.7,6820,1622,4,4.8,2.4,-0.8,38,35,27,3,70,627,67,6,5,1,16,2,0,0,0,0,485,27,13,7,14,6,22,40.9,13,17,3,14,5,32,27,0,94,2.74,62,1,6,17,7,1,14,0.41,1064,32,73,508,495,173,1061,77,38,49.4,39,50.6,494,2592,1129,41,31,22,86,41,736,199,9,0,0,38,49,17,16,5,13,1,1,0,68,78,80,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,8,6,560,6.2,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,0.00,0.05,1,10,1,2,0,0.0,0.32,0.00,0.00,,9.0,0,0,0,0.3,0.3,0.14,-0.3,-0.3,191,226,84.5,3666,1177,0,0.0,0.0,0.0,0,8,0,0,10,216,9,5,0,0,0,2,0,0,0,0,191,6,3,3,3,0,4,50.0,2,6,5,1,5,11,37,1,3,0.48,1,0,0,2,0,0,1,0.16,286,45,178,106,5,4,286,0,0,,0,,149,760,487,1,0,0,0,0,180,1,2,0,0,5,4,0,0,5,3,0,0,1,14,7,14,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,30,29,2536,28.2,4,0,4,4,0,0,2,1,2.4,2.4,0.5,2.9,0.14,0.10,31,119,10,15,7,46.7,0.53,0.25,0.27,0.57,10.8,0,0,0,2.4,2.4,0.16,+1.6,+1.6,1837,2043,89.9,34996,12273,0,0.5,0.8,-0.5,5,119,6,0,119,1955,87,77,1,34,3,1,0,0,0,0,1837,25,12,15,9,1,19,63.2,7,37,28,9,34,59,92,0,17,0.61,13,1,0,1,2,0,2,0.07,2295,268,1102,1143,59,22,2295,6,4,66.7,2,33.3,1364,6893,4301,31,19,0,13,4,1641,10,2,1,0,18,16,4,3,34,12,1,0,0,162,69,43,61.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
