Player,Squad,tm_player_id,MarketValue_EUR,MatchScore
Patrick van Aanholt,Crystal Palace,52119.0,2000000.0,100
Rolando Aarons,Newcastle Utd,258188.0,250000.0,100
Rolando Aarons,Hellas Verona,258188.0,250000.0,100
Ignazio Abate,Milan,16631.0,400000.0,100
Aymen Abdennour,Marseille,108830.0,200000.0,100
Aly Abeid,Levante,393436.0,300000.0,100
Mehdi Abeid,Dijon,111036.0,1000000.0,100
David Abraham,Eint Frankfurt,58178.0,1000000.0,100
Tammy Abraham,Swansea City,331726.0,30000000.0,100
Amir Abrashi,Freiburg,66005.0,200000.0,100
Francesco Acerbi,Sassuolo,131075.0,3500000.0,100
Afriyie Acquah,Torino,145581.0,300000.0,100
Charlie Adam,Stoke City,28990.0,350000.0,100
Aday,Girona,132921.0,500000.0,100
Khaled Adénon,Amiens,39174.0,200000.0,100
Claud Adjapong,Sassuolo,337716.0,900000.0,100
Yacine Adli,Paris S-G,395236.0,15000000.0,100
Ali Adnan Kadhim,Udinese,261611.0,200000.0,100
Aritz Aduriz,Athletic Club,29124.0,800000.0,100
Ibrahim Afellay,Stoke City,15760.0,475000.0,100
Benik Afobe,Bournemouth,110858.0,1200000.0,100
Martin Agirregabiria,Alavés,483573.0,1200000.0,97
Imanol Agirretxe,Real Sociedad,37501.0,1000000.0,100
Sergio Agüero,Manchester City,26399.0,15000000.0,100
Ruben Aguilar,Montpellier,203746.0,3500000.0,100
Matías Aguirregaray,Las Palmas,74232.0,100000.0,100
Jean-Eudes Aholou,Strasbourg,178313.0,800000.0,100
Ailton,Stuttgart,283863.0,150000.0,100
Youssef Aït Bennasser,Caen,265569.0,1000000.0,100
Arlind Ajeti,Crotone,159288.0,700000.0,100
Manuel Akanji,Dortmund,284730.0,22000000.0,100
Nathan Aké,Bournemouth,177476.0,18000000.0,100
Ager Aketxe,Athletic Club,158057.0,1000000.0,100
Chadrac Akolo,Stuttgart,247459.0,500000.0,100
Kevin Akpoguma,Hoffenheim,160241.0,2500000.0,100
David Alaba,Bayern Munich,59016.0,20000000.0,100
Lucas Alario,Leverkusen,193782.0,1500000.0,100
David Alba,Getafe,583508.0,150000.0,100
Jordi Alba,Barcelona,69751.0,4000000.0,100
Raúl Albentosa,La Coruña,77026.0,150000.0,100
Luis Alberto,Lazio,128220.0,11000000.0,100
Raúl Albiol,Napoli,15452.0,1000000.0,100
Miiko Albornoz,Hannover 96,75852.0,200000.0,100
Marc Albrighton,Leicester City,61560.0,1000000.0,100
Paco Alcácer,Barcelona,126716.0,7000000.0,100
Pedro Alcalá,Girona,51663.0,400000.0,100
Thiago Alcántara,Bayern Munich,60444.0,10000000.0,100
David Alcibiade,Nantes,126662.0,200000.0,100
Toby Alderweireld,Tottenham,42710.0,2800000.0,100
Steve Aldo One,La Coruña,254476.0,150000.0,100
Álex Alegría,Levante,178187.0,150000.0,100
Iván Alejo,Eibar,281755.0,1500000.0,100
Alexander,Leganés,1565.0,300000.0,100
Trent Alexander-Arnold,Liverpool,314353.0,70000000.0,100
Alexis,Alavés,40433.0,1400000.0,100
Allan,Napoli,385271.0,7000000.0,100
Joe Allen,Stoke City,51452.0,700000.0,100
Dele Alli,Tottenham,207929.0,5000000.0,100
Júnior Alonso,Lille,273000.0,8000000.0,100
José Alonso Lara,Sevilla,461858.0,200000.0,100
Marcos Alonso,Chelsea,112515.0,1400000.0,100
Ricky Álvarez,Sampdoria,547248.0,800000.0,80
Yeray Álvarez,Athletic Club,255488.0,1000000.0,100
Dani Alves,Paris S-G,15951.0,1000000.0,100
Ibrahim Amadou,Lille,205503.0,1500000.0,100
Eloi Amagat,Girona,73222.0,50000.0,100
Morgan Amalfitano,Rennes,39883.0,500000.0,100
Romain Amalfitano,Dijon,137841.0,300000.0,100
Daniel Amartey,Leicester City,214056.0,5000000.0,100
Jordi Amat,Betis,85289.0,900000.0,100
Amath,Getafe,339820.0,1500000.0,100
Jordan Amavi,Marseille,241229.0,1200000.0,100
Stephan Ambrosius,Hamburger SV,327536.0,900000.0,100
Kelvin Amian,Toulouse,344072.0,2500000.0,100
Nadiem Amiri,Hoffenheim,232454.0,20000000.0,100
Ethan Ampadu,Chelsea,392771.0,12000000.0,100
Nordin Amrabat,Watford,55619.0,300000.0,100
Nordin Amrabat,Leganés,55619.0,300000.0,100
Joachim Andersen,Sampdoria,260827.0,25000000.0,100
Felipe Anderson,Lazio,159372.0,8000000.0,100
Florin Andone,La Coruña,177065.0,800000.0,100
Benjamin André,Rennes,84301.0,5000000.0,100
Marco Andreolli,Cagliari,36356.0,500000.0,100
Yoann Andreu,Angers,92385.0,1500000.0,100
Miguel Ángel Guerrero,Leganés,137704.0,500000.0,100
José Ángel,Eibar,160182.0,200000.0,100
Miguel Ángel Rubio,Getafe,583510.0,2000000.0,100
Gabriele Angella,Udinese,86793.0,200000.0,100
Cristian Ansaldi,Torino,55854.0,400000.0,100
Luca Antei,Benevento,146743.0,75000.0,100
Mirco Antenucci,SPAL,83458.0,300000.0,100
Waldemar Anton,Hannover 96,193004.0,18000000.0,100
Luca Antonelli,Milan,45565.0,100000.0,100
Michail Antonio,West Ham,104124.0,4000000.0,100
Mirko Antonucci,Roma,315852.0,2200000.0,100
Vitorino Antunes,Getafe,44699.0,100000.0,100
Dennis Aogo,Stuttgart,19354.0,475000.0,100
Houssem Aouar,Lyon,395693.0,10000000.0,100
Alberto Aquilani,Las Palmas,5957.0,700000.0,100
Mauro Arambarri,Getafe,290249.0,10000000.0,100
Guilherme Arana,Sevilla,346766.0,10000000.0,100
Charles Aránguiz,Leverkusen,89701.0,3000000.0,100
Luiz Araújo,Lille,435485.0,6000000.0,100
Sergio Araujo,Las Palmas,110366.0,1500000.0,100
Anaitz Arbilla,Eibar,71548.0,400000.0,100
Scott Arfield,Burnley,55291.0,50000.0,100
Samuel Armenteros,Benevento,55751.0,375000.0,100
Yoël Armougom,Caen,548716.0,200000.0,100
José Arnaiz,Barcelona,364603.0,2000000.0,100
Marko Arnautović,West Ham,41384.0,4000000.0,100
Maximilian Arnold,Wolfsburg,117674.0,5000000.0,100
Jann-Fiete Arp,Hamburger SV,,,0
Alejandro Arribas,La Coruña,137174.0,350000.0,100
Sergio Arribas,Leganés,537762.0,10000000.0,100
Harry Arter,Bournemouth,55742.0,400000.0,100
Aythami Artiles,Las Palmas,44735.0,100000.0,100
Kwadwo Asamoah,Juventus,63531.0,350000.0,100
Takuma Asano,Stuttgart,245744.0,1800000.0,100
Santiago Ascacíbar,Stuttgart,423436.0,5500000.0,100
Marco Asensio,Real Madrid,296622.0,17000000.0,100
Iago Aspas,Celta Vigo,72047.0,1800000.0,100
Benoît Assou-Ekotto,Metz,18310.0,1000000.0,100
Simon Asta,Augsburg,392131.0,1500000.0,100
Davide Astori,Fiorentina,87210.0,7500000.0,100
Christian Atsu,Newcastle Utd,186997.0,400000.0,100
Pierre-Emerick Aubameyang,Arsenal,58864.0,5000000.0,100
Pierre-Emerick Aubameyang,Dortmund,58864.0,5000000.0,100
Jean-Kévin Augustin,RB Leipzig,264956.0,1000000.0,100
Ludwig Augustinsson,Werder Bremen,170646.0,3000000.0,100
Yann Aurel Bisseck,Köln,441986.0,15000000.0,100
Serge Aurier,Tottenham,127032.0,3700000.0,100
Charlie Austin,Southampton,129627.0,275000.0,100
Danilo Avelar,Amiens,140748.0,250000.0,100
Felipe Avenatti,Bologna,216375.0,500000.0,100
Durel Avounou,Caen,416168.0,600000.0,100
Chidozie Awaziem,Nantes,358143.0,3000000.0,100
André Ayew,West Ham,45403.0,600000.0,100
André Ayew,Swansea City,45403.0,600000.0,100
Jordan Ayew,Swansea City,108354.0,4000000.0,100
Karim Azamoum,Troyes,275361.0,200000.0,100
César Azpilicueta,Chelsea,57500.0,1200000.0,100
Ludovic Baal,Rennes,39913.0,150000.0,100
Khouma Babacar,Fiorentina,124902.0,200000.0,100
Khouma Babacar,Sassuolo,124902.0,200000.0,100
Carlos Bacca,Villarreal,119235.0,450000.0,100
Milan Badelj,Fiorentina,40633.0,800000.0,100
Holger Badstuber,Stuttgart,54659.0,150000.0,100
Dylan Bahamboula,Dijon,290928.0,325000.0,100
Farès Bahlouli,Lille,190333.0,300000.0,100
Stéphane Bahoken,Strasbourg,170953.0,950000.0,100
Daniel Baier,Augsburg,4018.0,400000.0,100
Leon Bailey,Leverkusen,387626.0,22000000.0,100
Eric Bailly,Manchester Utd,286384.0,1500000.0,100
Leighton Baines,Everton,13507.0,1600000.0,100
Riad Bajić,Udinese,263267.0,800000.0,100
Marvin Bakalorz,Hannover 96,53602.0,200000.0,100
Cédric Bakambu,Villarreal,127048.0,1400000.0,100
Tiemoué Bakayoko,Chelsea,182618.0,2000000.0,100
Zakaria Bakkali,La Coruña,203378.0,250000.0,100
Ridle Baku,Mainz 05,327251.0,9000000.0,100
Keita Baldé,Monaco,238752.0,1200000.0,100
Sam Baldock,Brighton,67211.0,100000.0,100
Gareth Bale,Real Madrid,39381.0,2000000.0,100
Mikel Balenziaga,Athletic Club,85258.0,400000.0,100
Andrija Balić,Udinese,316111.0,500000.0,100
Iván Balliu,Metz,85295.0,1200000.0,100
Fodé Ballo-Touré,Lille,296422.0,1200000.0,100
Florent Balmont,Dijon,5348.0,250000.0,100
Leon Balogun,Mainz 05,56100.0,150000.0,100
Mario Balotelli,Nice,45146.0,650000.0,100
Abdoulaye Bamba,Angers,62351.0,300000.0,100
Jonathan Bamba,Saint-Étienne,292818.0,9000000.0,100
Yacine Bammou,Nantes,276255.0,450000.0,100
Éver Banega,Sevilla,12249.0,1800000.0,100
Mattia Bani,Chievo,176139.0,2500000.0,100
Beni Baningime,Everton,399369.0,1500000.0,100
Léo Baptistão,Espanyol,221899.0,1500000.0,100
Sekou Baradji,Amiens,23890.0,200000.0,100
Antonín Barák,Udinese,272261.0,4500000.0,100
Andrea Barberis,Crotone,146680.0,800000.0,100
Enis Bardhi,Levante,245014.0,6000000.0,100
Phil Bardsley,Burnley,15773.0,75000.0,100
Nicolò Barella,Cagliari,255942.0,65000000.0,100
Philipp Bargfrede,Werder Bremen,42033.0,150000.0,100
Ross Barkley,Chelsea,131978.0,5000000.0,100
Aymen Barkok,Eint Frankfurt,315332.0,1000000.0,100
Ashley Barnes,Burnley,63200.0,200000.0,100
Harvey Barnes,Leicester City,398065.0,32000000.0,100
Antonio Barragán,Betis,32522.0,600000.0,100
Antonio Barreca,Torino,241889.0,800000.0,100
Édgar Barreto,Sampdoria,16120.0,250000.0,100
Barri,Getafe,541646.0,150000.0,100
Musa Barrow,Atalanta,486624.0,9000000.0,100
Gareth Barry,West Brom,3291.0,325000.0,100
Fin Bartels,Werder Bremen,36207.0,300000.0,100
Kyle Bartley,Swansea City,67421.0,600000.0,100
Marc Bartra,Betis,99922.0,1000000.0,100
Marc Bartra,Dortmund,99922.0,1000000.0,100
Andrea Barzagli,Juventus,7109.0,1000000.0,100
Daniele Baselli,Torino,134883.0,500000.0,100
Nicolas Basin,Metz,365952.0,50000.0,100
Dušan Basta,Lazio,19694.0,200000.0,100
Gil Bastião Dias,Fiorentina,329723.0,1500000.0,100
Gil Bastião Dias,Monaco,329723.0,1500000.0,100
Samuel Bastien,Chievo,289510.0,400000.0,100
Borja Bastón,Málaga,85324.0,3500000.0,100
Alessandro Bastoni,Atalanta,315853.0,70000000.0,100
Bastos,Lazio,195810.0,1200000.0,100
Michy Batshuayi,Chelsea,179184.0,4000000.0,100
Michy Batshuayi,Dortmund,179184.0,4000000.0,100
Moritz Bauer,Stoke City,159692.0,200000.0,100
Robert Bauer,Werder Bremen,179634.0,800000.0,100
Timo Baumgartl,Stuttgart,187491.0,1800000.0,100
Julian Baumgartlinger,Leverkusen,34787.0,400000.0,100
Jon Bautista,Real Sociedad,289236.0,800000.0,100
Paul Baysse,Málaga,43256.0,800000.0,100
Paul Baysse,Bordeaux,43256.0,800000.0,100
Noah Joel Sarenren Bazee,Hannover 96,283001.0,500000.0,100
Hervé Bazile,Caen,95680.0,75000.0,100
Riechedly Bazoer,Wolfsburg,216443.0,3800000.0,100
Enrico Bearzotti,Hellas Verona,297731.0,100000.0,100
Claudio Beauvue,Leganés,58818.0,150000.0,100
Bebé,Eibar,153427.0,600000.0,100
Ihlas Bebou,Hannover 96,237164.0,1000000.0,100
Andreas Beck,Stuttgart,31182.0,200000.0,100
Henri Bedimo,Marseille,6803.0,400000.0,100
Jan Bednarek,Southampton,243028.0,18000000.0,100
Valon Behrami,Udinese,21905.0,300000.0,100
Ishak Belfodil,Werder Bremen,111039.0,1700000.0,100
Stefan Bell,Mainz 05,82350.0,800000.0,100
Karim Bellarabi,Leverkusen,61087.0,1000000.0,100
