Player,Squad,Comp,Pos,Season,90s,Succ_Per90,Cmp%,PrgC_Per90,PrgR_Per90,TB_Per90,Gls_Per90,Ast_Per90,xG_Per90,xAG_Per90,SoT_Per90,SCA_Per90,KP_Per90,TklW_Per90,Int_Per90,Blocks_Per90,Clr_Per90
Patrick van Aanholt,Crystal Palace,eng Premier League,DF,2017-2018,24.3,1.07,75.2,1.893,3.539,0.123,0.206,0.041,0.128,0.086,0.453,1.893,0.741,1.317,1.934,0.988,2.634
Rolando Aarons,Newcastle Utd,eng Premier League,"MF,FW",2017-2018,1.5,2.667,65.9,4.667,2.667,0.0,0.0,0.0,0.067,0.0,0.0,0.667,0.0,2.667,0.667,2.0,0.0
Rolando Aarons,Hellas Verona,it Serie A,"MF,FW",2017-2018,5.7,1.404,72.5,1.579,5.439,0.0,0.0,0.0,0.035,0.035,0.0,0.877,0.526,1.404,0.351,0.526,0.0
Ignazio Abate,Milan,it Serie A,DF,2017-2018,11.7,0.0,80.5,1.709,5.556,0.0,0.085,0.0,0.017,0.043,0.171,2.308,0.855,1.453,0.684,1.88,2.479
Aymen Abdennour,Marseille,fr Ligue 1,DF,2017-2018,5.5,0.182,93.1,0.364,0.0,0.0,0.0,0.0,0.018,0.0,0.182,0.364,0.0,0.545,0.727,0.909,3.636
Aly Abeid,Levante,es La Liga,DF,2017-2018,0.9,1.111,76.3,2.222,3.333,0.0,0.0,0.0,0.0,0.111,0.0,2.222,1.111,1.111,3.333,1.111,3.333
Mehdi Abeid,Dijon,fr Ligue 1,MF,2017-2018,13.1,1.069,84.8,1.527,1.069,0.0,0.0,0.076,0.076,0.023,0.458,1.45,0.534,1.145,1.374,0.84,1.908
David Abraham,Eint Frankfurt,de Bundesliga,DF,2017-2018,25.6,0.312,82.4,0.664,0.273,0.0,0.0,0.078,0.016,0.027,0.039,0.781,0.273,1.25,1.562,1.133,5.508
Tammy Abraham,Swansea City,eng Premier League,FW,2017-2018,19.2,1.406,65.6,0.99,5.417,0.104,0.26,0.052,0.354,0.083,0.677,2.188,0.625,0.417,0.052,0.417,0.573
Amir Abrashi,Freiburg,de Bundesliga,MF,2017-2018,9.4,0.426,77.3,0.851,1.915,0.0,0.0,0.0,0.021,0.043,0.0,1.489,0.319,3.404,2.021,2.34,2.128
Francesco Acerbi,Sassuolo,it Serie A,DF,2017-2018,38.0,0.447,84.3,0.921,0.368,0.053,0.0,0.0,0.026,0.018,0.053,0.789,0.263,0.842,2.316,1.105,6.711
Afriyie Acquah,Torino,it Serie A,MF,2017-2018,10.6,1.509,84.7,2.264,2.264,0.0,0.094,0.0,0.038,0.057,0.283,1.604,0.566,0.566,1.509,0.755,0.943
Charlie Adam,Stoke City,eng Premier League,MF,2017-2018,4.6,2.609,58.9,1.304,1.957,0.652,0.0,0.0,0.348,0.261,0.435,3.696,1.304,1.087,1.957,0.435,2.391
Aday,Girona,es La Liga,DF,2017-2018,20.4,1.324,70.5,4.02,7.647,0.049,0.098,0.0,0.137,0.078,0.588,2.745,0.98,0.735,1.225,0.931,2.549
Khaled Adénon,Amiens,fr Ligue 1,DF,2017-2018,32.5,0.123,83.0,0.185,0.031,0.031,0.0,0.031,0.018,0.006,0.031,0.462,0.062,0.738,2.0,1.292,6.8
Claud Adjapong,Sassuolo,it Serie A,"DF,FW",2017-2018,13.6,0.662,71.3,2.279,3.971,0.221,0.0,0.0,0.059,0.081,0.294,1.838,0.809,1.912,1.691,1.176,2.721
Ali Adnan Kadhim,Udinese,it Serie A,"DF,FW",2017-2018,18.6,1.344,66.3,1.344,3.011,0.0,0.0,0.054,0.027,0.091,0.161,2.043,1.075,1.882,2.204,1.667,4.839
Aritz Aduriz,Athletic Club,es La Liga,FW,2017-2018,23.9,0.795,65.1,1.13,6.276,0.084,0.377,0.042,0.464,0.063,0.962,1.464,0.46,0.335,0.126,0.251,0.753
Ibrahim Afellay,Stoke City,eng Premier League,MF,2017-2018,1.8,0.556,87.8,0.0,0.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667,0.556,0.556,0.556
