Player,OffScore_mean,MidScore_mean,DefScore_mean,Min,90s,MainScore_mean
Aaron Anselmino,,,,346,3.8,
Aaron Connolly,342.0733344195911,,,2205,24.5,310.15
Aaron Cresswell,,,505.84162458602026,16776,186.4,259.12857142857143
Aaron Hickey,,,473.6214294376493,6721,74.6,219.11999999999998
Aaron Hunt,422.7856665893912,,,2081,23.1,414.0
Aaron Lennon,139.94724997302112,,,5173,57.4,23.8
Aaron Leya Iseka,266.72919201561473,,,3229,35.8,119.06666666666666
Aaron Mooy,358.33822065031893,656.3919062673864,,7482,83.2,477.4666666666667
Aaron Ramsey,688.7556411056778,427.44607157769957,,7527,83.7,701.0333333333333
Aaron Rowe,,,,69,0.8,
Aaron Seydel,230.6455266813323,,,619,6.9,74.9
Aaron Wan-Bissaka,,,736.2611967412785,19064,211.7,915.5
Aaron Zehnter,,,506.79409090232417,989,11.0,275.5
Aarón Martín,,,463.76170473610364,19273,214.2,144.7888888888889
Abakar Sylla,,,735.7881002621773,2742,30.5,869.4000000000001
Abass Issah,,,,27,0.30000000000000004,
Abdallah N'dour,,,,918,10.1,
Abdallah Sima,463.76245922588544,,,3231,35.9,520.55
Abdallahi Mahmoud,,,,218,2.4,
Abde Ezzalzouli,382.196208876548,,,5781,64.2,386.84000000000003
Abde Rebbach,282.39123735159455,,,1871,20.8,202.8
Abdel Abqar,,,592.7013175941081,5465,60.8,576.1
Abdel Jalil Medioub,,,623.6247631685977,622,6.9,568.9
Abdelhamid Ait Boudlal,,,531.4366702067476,648,7.2,285.7
Abdelhamid Sabiri,392.5975536058949,434.8377015171347,,3305,36.6,378.3333333333333
Abdellah Raihani,,,,10,0.1,
Abdou Diallo,,,614.024912576584,8840,98.1,488.7166666666667
Abdou Harroui,591.358222623096,411.74292093355564,,2757,30.6,545.875
Abdoul Camara,338.40344746621133,,,888,9.9,294.5
Abdoul Coulibaly,,,632.3599447001114,1130,12.6,663.3
Abdoul Kader Bamba,454.15492791275307,,,3074,34.2,509.3
Abdoul Koné,,,,326,3.6,
Abdoul Ouattara,,,481.671088369059,1403,15.600000000000001,253.05
Abdoulay Diaby,,,,18,0.2,
Abdoulaye Ba,,,726.801074272825,2110,23.4,904.1
Abdoulaye Bakayoko,,,,307,3.4,
Abdoulaye Bamba,,,482.0855955795015,9439,105.0,132.4857142857143
Abdoulaye Dabo,,,,116,1.3,
Abdoulaye Doucouré,372.6919403282679,553.5237646374247,,21248,236.0,570.9375
Abdoulaye Faye,,,742.2476974672354,573,6.4,894.6
Abdoulaye Keita,,,,95,1.1,
Abdoulaye Niakhate Ndiaye,,,761.6495195706732,2203,24.5,908.95
Abdoulaye Sidibé,,,,11,0.1,
Abdoulaye Sylla,,,,165,1.8,
Abdoulaye Touré,,375.5752453736245,,15239,169.3,244.47142857142856
Abdoulie Ceesay,,,,253,2.8,
Abdourahmane Barry,,,,210,2.3,
Abdu Conté,,,366.9945811491773,2662,29.6,41.6
Abdukodir Khusanov,,,651.7333709988808,2669,29.6,665.2333333333333
Abdul Fatawu Issahaku,297.17155103668256,,,579,6.4,198.3
Abdul Majeed Waris,212.9663663325796,,,3496,38.8,102.1
Abdul Mumin,,,579.872713432564,4633,51.4,533.5
Abdulai Juma Bah,,,670.8125640407969,2540,28.2,717.4333333333334
Abdón Prats,382.95225459659196,,,3147,34.9,408.90000000000003
Abel Bretones,,,511.9976886795358,3424,38.0,338.4
Abel Ruiz,244.77626948215183,,,1405,15.6,100.2
Ablie Jallow,450.5786082476261,,,1047,11.6,410.3
Abner,,,536.9216945007661,3987,44.3,405.175
Abou Lô,,,,197,2.2,
Abou Ouattara,,,,9,0.1,
Aboubacar Ali,,,,130,1.4,
Aboubaka Soumahoro,,,,136,1.5,
Aboubakar Kamara,305.35369767946963,,,1565,17.4,238.8
Aboubakar Sidibé,,,,6,0.1,
Abu Kamara,,,,196,2.2,
Achraf Dari,,,617.1180766194675,1438,15.9,551.6
