Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,Season
Patrick van Aanholt,Crystal Palace,eng Premier League,DF,26.0,2184,24.3,,,,,644.0135041631748,Top Starter,2017-2018
Rolando Aarons,Newcastle Utd,eng Premier League,Off_MF,21.0,139,1.5,,,,,,,2017-2018
Rolando Aarons,Hellas Verona,it Serie A,Off_MF,21.0,517,5.7,104.46211343794336,Below Big-5 Level,,,,,2017-2018
Ignazio Abate,Milan,it Serie A,DF,30.0,1057,11.7,,,,,632.7775796157106,Top Starter,2017-2018
Aymen Abdennour,Marseille,fr Ligue 1,DF,27.0,499,5.5,,,,,436.1745863543619,Top Starter,2017-2018
Aly Abeid,Levante,es La Liga,DF,19.0,77,0.9,,,,,,,2017-2018
Mehdi Abeid,Dijon,fr Ligue 1,MF,24.0,1176,13.1,,,373.7714729707734,Solid Squad Player,,,2017-2018
David Abraham,Eint Frankfurt,de Bundesliga,DF,31.0,2302,25.6,,,,,701.8538739812764,Top Starter,2017-2018
Tammy Abraham,Swansea City,eng Premier League,FW,19.0,1726,19.2,356.74773605307666,Solid Squad Player,,,,,2017-2018
Amir Abrashi,Freiburg,de Bundesliga,MF,27.0,850,9.4,,,330.50872999921154,Solid Squad Player,,,2017-2018
Francesco Acerbi,Sassuolo,it Serie A,DF,29.0,3420,38.0,,,,,699.7814944583482,Top Starter,2017-2018
Afriyie Acquah,Torino,it Serie A,MF,25.0,951,10.6,,,405.3419622351803,Top Starter,,,2017-2018
Charlie Adam,Stoke City,eng Premier League,MF,31.0,411,4.6,,,,,,,2017-2018
Aday,Girona,es La Liga,DF,29.0,1835,20.4,,,,,459.76414336102926,Top Starter,2017-2018
Khaled Adénon,Amiens,fr Ligue 1,DF,32.0,2921,32.5,,,,,675.9266050208845,Top Starter,2017-2018
Claud Adjapong,Sassuolo,it Serie A,DF,19.0,1220,13.6,,,,,704.5611662017737,Top Starter,2017-2018
Yacine Adli,Paris S-G,fr Ligue 1,FW,17.0,8,0.1,,,,,,,2017-2018
Ali Adnan Kadhim,Udinese,it Serie A,DF,23.0,1674,18.6,,,,,818.1504824173002,World Class,2017-2018
Aritz Aduriz,Athletic Club,es La Liga,FW,36.0,2152,23.9,334.4190353303402,Solid Squad Player,,,,,2017-2018
Ibrahim Afellay,Stoke City,eng Premier League,MF,31.0,166,1.8,,,,,,,2017-2018
Benik Afobe,Bournemouth,eng Premier League,FW,24.0,611,6.8,121.93299779804973,Below Big-5 Level,,,,,2017-2018
Martin Agirregabiria,Alavés,es La Liga,DF,21.0,1828,20.3,,,,,655.719396235831,Top Starter,2017-2018
Imanol Agirretxe,Real Sociedad,es La Liga,FW,30.0,232,2.6,,,,,,,2017-2018
Sergio Agüero,Manchester City,eng Premier League,FW,29.0,1963,21.8,883.1676896209518,World Class,,,,,2017-2018
Ruben Aguilar,Montpellier,fr Ligue 1,DF,24.0,2459,27.3,,,,,672.9200315608642,Top Starter,2017-2018
Matías Aguirregaray,Las Palmas,es La Liga,DF,28.0,1153,12.8,,,,,673.5502200161359,Top Starter,2017-2018
Jean-Eudes Aholou,Strasbourg,fr Ligue 1,MF,23.0,3006,33.4,,,335.52709701149666,Solid Squad Player,,,2017-2018
Ailton,Stuttgart,de Bundesliga,DF,22.0,108,1.2,,,,,,,2017-2018
Youssef Aït Bennasser,Caen,fr Ligue 1,MF,21.0,2047,22.7,,,389.5617539950678,Solid Squad Player,,,2017-2018
Arlind Ajeti,Crotone,it Serie A,DF,23.0,1271,14.1,,,,,812.9484447051782,World Class,2017-2018
Manuel Akanji,Dortmund,de Bundesliga,DF,22.0,904,10.0,,,,,613.3960203774449,Top Starter,2017-2018
Nathan Aké,Bournemouth,eng Premier League,DF,22.0,3353,37.3,,,,,637.7143034752456,Top Starter,2017-2018
Ager Aketxe,Athletic Club,es La Liga,Off_MF,23.0,37,0.4,,,,,,,2017-2018
Chadrac Akolo,Stuttgart,de Bundesliga,Off_MF,22.0,1102,12.2,528.3733233754192,Top Starter,,,,,2017-2018
Kevin Akpoguma,Hoffenheim,de Bundesliga,DF,22.0,1690,18.8,,,,,688.5363829392451,Top Starter,2017-2018
David Alaba,Bayern Munich,de Bundesliga,DF,25.0,1551,17.2,,,,,454.0453010061102,Top Starter,2017-2018
Lucas Alario,Leverkusen,de Bundesliga,FW,24.0,1550,17.2,624.6927856744978,Top Starter,,,,,2017-2018
David Alba,Getafe,es La Liga,DF,18.0,61,0.7,,,,,,,2017-2018
Jordi Alba,Barcelona,es La Liga,DF,28.0,2744,30.5,,,,,671.90277209882,Top Starter,2017-2018
Raúl Albentosa,La Coruña,es La Liga,DF,28.0,1748,19.4,,,,,513.7567073585942,Top Starter,2017-2018
Luis Alberto,Lazio,it Serie A,FW,24.0,2669,29.7,659.740764286219,Top Starter,,,,,2017-2018
Raúl Albiol,Napoli,it Serie A,DF,31.0,2742,30.5,,,,,521.9591661065846,Top Starter,2017-2018
Miiko Albornoz,Hannover 96,de Bundesliga,DF,26.0,703,7.8,,,,,665.1890687426061,Top Starter,2017-2018
Marc Albrighton,Leicester City,eng Premier League,Off_MF,27.0,2538,28.2,428.7016317226869,Top Starter,,,,,2017-2018
Paco Alcácer,Barcelona,es La Liga,Off_MF,23.0,695,7.7,816.6925878596361,World Class,,,,,2017-2018
Pedro Alcalá,Girona,es La Liga,DF,28.0,689,7.7,,,,,605.6583362455335,Top Starter,2017-2018
Thiago Alcántara,Bayern Munich,de Bundesliga,MF,26.0,1247,13.9,,,854.0913762496496,World Class,,,2017-2018
David Alcibiade,Nantes,fr Ligue 1,DF,25.0,208,2.3,,,,,,,2017-2018
Toby Alderweireld,Tottenham,eng Premier League,DF,28.0,1178,13.1,,,,,505.6002510749253,Top Starter,2017-2018
Steve Aldo One,La Coruña,es La Liga,DF,22.0,90,1.0,,,,,,,2017-2018
Álex Alegría,Levante,es La Liga,FW,24.0,628,7.0,88.36898395721927,Below Big-5 Level,,,,,2017-2018
Iván Alejo,Eibar,es La Liga,Off_MF,22.0,1102,12.2,404.5007048567075,Top Starter,,,,,2017-2018
Alexander,Leganés,es La Liga,Off_MF,28.0,1060,11.8,389.52339734415506,Solid Squad Player,,,,,2017-2018
Trent Alexander-Arnold,Liverpool,eng Premier League,DF,18.0,1573,17.5,,,,,673.0343057628099,Top Starter,2017-2018
Alexis,Alavés,es La Liga,DF,31.0,2184,24.3,,,,,554.5691957339435,Top Starter,2017-2018
Allan,Napoli,it Serie A,MF,26.0,2850,31.7,,,702.2023895504962,Top Starter,,,2017-2018
Joe Allen,Stoke City,eng Premier League,MF,27.0,3139,34.9,,,578.7217382865718,Top Starter,,,2017-2018
Dele Alli,Tottenham,eng Premier League,Off_MF,21.0,2958,32.9,731.450000776892,Top Starter,,,,,2017-2018
Júnior Alonso,Lille,fr Ligue 1,DF,24.0,2781,30.9,,,,,674.0648609508271,Top Starter,2017-2018
José Alonso Lara,Sevilla,es La Liga,Off_MF,17.0,10,0.1,,,,,,,2017-2018
Marcos Alonso,Chelsea,eng Premier League,DF,26.0,2855,31.7,,,,,558.9540169355755,Top Starter,2017-2018
Ricky Álvarez,Sampdoria,it Serie A,Off_MF,29.0,267,3.0,,,,,,,2017-2018
Yeray Álvarez,Athletic Club,es La Liga,DF,22.0,675,7.5,,,,,588.9767269492086,Top Starter,2017-2018
Dani Alves,Paris S-G,fr Ligue 1,DF,34.0,2063,22.9,,,,,672.0618035857909,Top Starter,2017-2018
Ibrahim Amadou,Lille,fr Ligue 1,Def_MF,24.0,2405,26.7,,,,,673.3006137007234,Top Starter,2017-2018
Eloi Amagat,Girona,es La Liga,Off_MF,32.0,15,0.2,,,,,,,2017-2018
Morgan Amalfitano,Rennes,fr Ligue 1,MF,32.0,746,8.3,,,295.90011527756315,Solid Squad Player,,,2017-2018
Romain Amalfitano,Dijon,fr Ligue 1,MF,27.0,2703,30.0,,,476.94017840509065,Top Starter,,,2017-2018
Daniel Amartey,Leicester City,eng Premier League,DF,22.0,487,5.4,,,,,555.5963288677826,Top Starter,2017-2018
Jordi Amat,Betis,es La Liga,DF,25.0,2045,22.7,,,,,614.2871002437336,Top Starter,2017-2018
Amath,Getafe,es La Liga,Off_MF,21.0,2859,31.8,280.5559958060175,Solid Squad Player,,,,,2017-2018
Jordan Amavi,Marseille,fr Ligue 1,DF,23.0,2193,24.4,,,,,696.0525826689579,Top Starter,2017-2018
Stephan Ambrosius,Hamburger SV,de Bundesliga,DF,18.0,45,0.5,,,,,,,2017-2018
Kelvin Amian,Toulouse,fr Ligue 1,DF,19.0,3154,35.0,,,,,547.1169672025752,Top Starter,2017-2018
Nadiem Amiri,Hoffenheim,de Bundesliga,Off_MF,20.0,1744,19.4,430.7679079242439,Top Starter,,,,,2017-2018
Ethan Ampadu,Chelsea,eng Premier League,DF,16.0,11,0.1,,,,,,,2017-2018
Nordin Amrabat,Watford,eng Premier League,FW,30.0,198,2.2,,,,,,,2017-2018
