fixture_id,date,status,status_long,elapsed,league_id,league,country,season,round,home_team_id,home_team,away_team_id,away_team,goals_home,goals_away,ht_home,ht_away
1513088,2026-05-11T00:00:00+00:00,FT,Match Finished,90.0,909,MLS Next Pro,USA,2026,Group Stage,4102,Colorado Rapids II,4019,Sporting KC II,1.0,3.0,1.0,3.0
1514443,2026-05-11T00:00:00+00:00,PST,Match Postponed,,422,Premier League,Barbados,2026,Regular Season - 16,22944,Kick Start,8410,Weymouth Wales,,,,
1540098,2026-05-11T00:00:00+00:00,FT,Match Finished,90.0,1220,Copa De La Liga,Chile,2026,Group Stage - 5,2320,O'Higgins,2325,Everton de Vina,2.0,1.0,0.0,1.0
1543809,2026-05-11T00:00:00+00:00,FT,Match Finished,90.0,421,Division di Honor,Aruba,2025,Relegation round,11176,Jong Aruba,8243,Caiquetio,0.0,0.0,0.0,0.0
1544660,2026-05-11T00:00:00+00:00,FT,Match Finished,90.0,370,Primera Division,El-Salvador,2025,Clausura - Quarter-finals,26154,Inter,4306,Municipal Limeño,2.0,1.0,0.0,0.0
1524438,2026-05-11T00:15:00+00:00,FT,Match Finished,90.0,256,USL League Two,USA,2026,Group Stage,23128,West Seattle Junction,23124,Tacoma Stars,0.0,0.0,0.0,0.0
1544222,2026-05-11T00:15:00+00:00,FT,Match Finished,90.0,673,Liga MX Femenil,Mexico,2025,Clausura - Semi-finals,14879,Monterrey W,14881,Pachuca W,4.0,1.0,1.0,1.0
1513089,2026-05-11T00:30:00+00:00,FT,Match Finished,90.0,909,MLS Next Pro,USA,2026,Group Stage,21138,Austin II,4020,Tacoma Defiance,3.0,0.0,0.0,0.0
1544183,2026-05-11T00:30:00+00:00,FT,Match Finished,90.0,128,Liga Profesional Argentina,Argentina,2026,Apertura - Round of 16,438,Velez Sarsfield,434,Gimnasia L.P.,0.0,1.0,0.0,1.0
1544561,2026-05-11T00:30:00+00:00,FT,Match Finished,90.0,322,Premier League,Jamaica,2025,Quarter-finals,3437,Cavalier,3447,Waterhouse,2.0,2.0,1.0,2.0
1490280,2026-05-11T01:00:00+00:00,FT,Match Finished,90.0,253,Major League Soccer,USA,2026,Regular Season - 13,1616,Los Angeles FC,1600,Houston Dynamo,1.0,4.0,1.0,2.0
1532368,2026-05-11T01:00:00+00:00,CANC,Match Cancelled,,1117,USL W League,USA,2026,Regular Season - 1,27609,Los Angeles SC W,25960,OC Sporting,,,,
1543855,2026-05-11T01:00:00+00:00,FT,Match Finished,90.0,339,Liga Nacional,Guatemala,2025,Semi-finals,3667,Xelajú,3658,Comunicaciones,2.0,0.0,1.0,0.0
1542919,2026-05-11T01:15:00+00:00,FT,Match Finished,90.0,262,Liga MX,Mexico,2025,Clausura - Quarter-finals,2286,U.N.A.M. - Pumas,2287,Club America,3.0,3.0,3.0,2.0
1544310,2026-05-11T01:20:00+00:00,FT,Match Finished,90.0,240,Primera B,Colombia,2026,Apertura - Quadrangular - 4,23326,Internacional Palmira,1129,Envigado,0.0,0.0,0.0,0.0
1544653,2026-05-11T07:00:00+00:00,FT,Match Finished,90.0,1101,AFC U17 Asian Cup - Women,World,2025,Quarter-finals,25228,Japan U17 W,23621,South Korea U17 W,1.0,0.0,0.0,0.0
1544654,2026-05-11T07:00:00+00:00,FT,Match Finished,90.0,1101,AFC U17 Asian Cup - Women,World,2025,Quarter-finals,27212,Vietnam U17 W,23618,Australia U17 W,0.0,2.0,0.0,2.0
1416414,2026-05-11T09:00:00+00:00,FT,Match Finished,90.0,1065,U19 League,Ukraine,2025,Regular Season - 28,23081,Oleksandria U19,23085,Zorya Luhansk U19,0.0,1.0,0.0,0.0
1416415,2026-05-11T09:00:00+00:00,FT,Match Finished,90.0,1065,U19 League,Ukraine,2025,Regular Season - 28,23082,Veres Rivne U19,23076,Kryvbas 2020 U19,3.0,1.0,2.0,1.0
1529666,2026-05-11T09:00:00+00:00,FT,Match Finished,90.0,343,First League,Armenia,2025,Regular Season - 21,17171,BKMA II,3688,Ararat II,4.0,0.0,2.0,0.0
1400256,2026-05-11T10:00:00+00:00,FT,Match Finished,90.0,235,Premier League,Russia,2025,Regular Season - 29,6786,Akron,779,FC Rostov,1.0,3.0,1.0,3.0
1416416,2026-05-11T10:00:00+00:00,FT,Match Finished,90.0,1065,U19 League,Ukraine,2025,Regular Season - 28,23078,Metalist 1925 U19,24177,Karpaty Lviv U19,3.0,2.0,2.0,2.0
1421732,2026-05-11T10:00:00+00:00,FT,Match Finished,90.0,1065,U19 League,Ukraine,2025,Regular Season - 28,26235,Epitsentr U19,23084,Zhytomyr U19,0.0,2.0,0.0,0.0
1536348,2026-05-11T10:00:00+00:00,FT,Match Finished,90.0,652,Second League - Group 2,Russia,2026,Group 2 - 7,19452,Kosmos Dolgoprudny,24450,Cherepovets,1.0,3.0,0.0,1.0
1542427,2026-05-11T10:00:00+00:00,FT,Match Finished,90.0,236,First League,Russia,2025,Regular Season - 33,1089,Enisey,1077,Arsenal Tula,1.0,0.0,1.0,0.0
1543562,2026-05-11T10:00:00+00:00,FT,Match Finished,90.0,1031,Premier League,Bhutan,2026,,21277,Tsirang,5433,Bhutan U19,2.0,4.0,0.0,1.0
1544710,2026-05-11T10:00:00+00:00,FT,Match Finished,90.0,840,Taça Revelação U23,Portugal,2026,Quarter-finals,21718,Academico Viseu U23,21719,Santa Clara U23,2.0,4.0,1.0,2.0
1522102,2026-05-11T10:30:00+00:00,FT,Match Finished,90.0,836,Victoria NPL 2,Australia,2026,Regular Season - 12,22823,Melbourne Victory II,16784,Manningham United Blues,4.0,0.0,0.0,0.0
1542426,2026-05-11T11:00:00+00:00,FT,Match Finished,90.0,236,First League,Russia,2025,Regular Season - 33,1084,Ural,6801,KAMAZ,2.0,0.0,2.0,0.0
1543023,2026-05-11T11:30:00+00:00,FT,Match Finished,90.0,343,First League,Armenia,2025,Regular Season - 28,21877,Andranik,26198,Sardarapat,1.0,1.0,0.0,0.0
1543024,2026-05-11T11:30:00+00:00,FT,Match Finished,90.0,343,First League,Armenia,2025,Regular Season - 28,24965,Bentonit Ijevan,6281,Lernayin Artsakh,3.0,0.0,0.0,0.0
1543025,2026-05-11T11:30:00+00:00,FT,Match Finished,90.0,343,First League,Armenia,2025,Regular Season - 28,20087,Syunik,3696,Pyunik II,2.0,3.0,0.0,1.0
1543026,2026-05-11T11:30:00+00:00,FT,Match Finished,90.0,343,First League,Armenia,2025,Regular Season - 28,3690,Banants II,21879,Noah II,0.0,0.0,0.0,0.0
1544655,2026-05-11T11:30:00+00:00,FT,Match Finished,90.0,1101,AFC U17 Asian Cup - Women,World,2025,Quarter-finals,20526,China PR U17 W,27721,India U17 W,3.0,0.0,2.0,0.0
1544656,2026-05-11T11:30:00+00:00,FT,Match Finished,90.0,1101,AFC U17 Asian Cup - Women,World,2025,Quarter-finals,23619,North Korea U17 W,23622,Thailand U17 W,6.0,0.0,3.0,0.0
1403848,2026-05-11T12:00:00+00:00,FT,Match Finished,90.0,274,Liga 1,Indonesia,2025,Regular Season - 32,2448,Bali United,2442,Pusamania Borneo,2.0,3.0,1.0,0.0
1403849,2026-05-11T12:00:00+00:00,FT,Match Finished,90.0,274,Liga 1,Indonesia,2025,Regular Season - 32,2443,Bhayangkara FC,2444,Persepam Madura Utd,3.0,1.0,0.0,1.0
1470824,2026-05-11T12:00:00+00:00,FT,Match Finished,90.0,276,FKF Premier League,Kenya,2025,Regular Season - 31,2459,Posta Rangers FC,2470,Sofapaka,3.0,0.0,1.0,0.0
1515643,2026-05-11T12:00:00+00:00,FT,Match Finished,90.0,813,Elite Two,Cameroon,2026,Regular Season - 13,5399,Avion Academy,27457,Kumba,0.0,0.0,1.0,0.0
1515644,2026-05-11T12:00:00+00:00,NS,Not Started,,813,Elite Two,Cameroon,2026,Regular Season - 13,5557,Bamboutos,22588,Bafmeng United,,,,
1515645,2026-05-11T12:00:00+00:00,NS,Not Started,,813,Elite Two,Cameroon,2026,Regular Season - 13,5407,Les Astres,5403,Eding Sport,,,,
1515647,2026-05-11T12:00:00+00:00,FT,Match Finished,90.0,813,Elite Two,Cameroon,2026,Regular Season - 13,10153,Tonnerre,5559,Racing,0.0,0.0,1.0,2.0
1515649,2026-05-11T12:00:00+00:00,NS,Not Started,,813,Elite Two,Cameroon,2026,Regular Season - 13,25430,Union Abong-Mbang,5558,Yafoot,,,,
1541053,2026-05-11T12:00:00+00:00,FT,Match Finished,90.0,363,Premier League,Ethiopia,2025,Regular Season - 31,20030,Ethiopian Medhin,4130,Ethiopia Nigd Bank,2.0,1.0,0.0,0.0
1400259,2026-05-11T12:15:00+00:00,FT,Match Finished,90.0,235,Premier League,Russia,2025,Regular Season - 29,2011,Nizhny Novgorod,555,CSKA Moscow,1.0,2.0,1.0,0.0
1381160,2026-05-11T12:30:00+00:00,FT,Match Finished,90.0,88,Eredivisie,Netherlands,2025,Regular Season - 33,203,NAC Breda,210,Heerenveen,2.0,0.0,1.0,0.0
1541054,2026-05-11T13:00:00+00:00,FT,Match Finished,90.0,363,Premier League,Ethiopia,2025,Regular Season - 31,26881,Negelle Arsi,4115,Dire Dawa Kenema,3.0,0.0,2.0,0.0
1544313,2026-05-11T13:00:00+00:00,FT,Match Finished,90.0,324,I-League,India,2025,Relegation Group - 3,3460,Aizawl,3469,Real Kashmir,1.0,2.0,0.0,1.0
1544711,2026-05-11T13:00:00+00:00,FT,Match Finished,90.0,840,Taça Revelação U23,Portugal,2026,Quarter-finals,15464,Famalicão U23,19825,Gil Vicente U23,1.0,4.0,1.0,3.0
1515642,2026-05-11T14:00:00+00:00,FT,Match Finished,90.0,813,Elite Two,Cameroon,2026,Regular Season - 13,5398,APEJES Academy,16525,FAP,0.0,0.0,0.0,1.0
1515646,2026-05-11T14:00:00+00:00,FT,Match Finished,90.0,813,Elite Two,Cameroon,2026,Regular Season - 13,27458,Sable,16527,Foncha ST,0.0,0.0,2.0,1.0
1515648,2026-05-11T14:00:00+00:00,FT,Match Finished,90.0,813,Elite Two,Cameroon,2026,Regular Season - 13,5413,Union Douala,25429,Atlantic,0.0,0.0,0.0,1.0
1521339,2026-05-11T14:00:00+00:00,FT,Match Finished,90.0,323,Indian Super League,India,2025,Regular Season - 10,21137,East Bengal II,3466,Minerva Punjab,0.0,0.0,0.0,0.0
1542425,2026-05-11T14:00:00+00:00,FT,Match Finished,90.0,236,First League,Russia,2025,Regular Season - 33,1998,Shinnik Yaroslavl,3985,Torpedo Moskva,1.0,1.0,1.0,0.0
1543327,2026-05-11T14:00:00+00:00,FT,Match Finished,90.0,1102,UEFA U17 Championship - Women,World,2026,Group Stage - 3,27105,Finland U17 W,26053,France U17	W,1.0,4.0,0.0,3.0
1543328,2026-05-11T14:00:00+00:00,FT,Match Finished,90.0,1102,UEFA U17 Championship - Women,World,2026,Group Stage - 3,25232,Poland U17 W,25233,Spain U17 W,1.0,4.0,0.0,3.0
1543180,2026-05-11T14:10:00+00:00,FT,Match Finished,90.0,301,Pro League,United-Arab-Emirates,2025,Regular Season - 25,10155,Al Nasr,2876,Al-Ittihad Kalba,2.0,1.0,1.0,0.0
1543183,2026-05-11T14:10:00+00:00,FT,Match Finished,90.0,1218,Pro League U23,United-Arab-Emirates,2025,Regular Season - 25,27484,Ajman U23,27494,Dibba Al Fujairah U23,0.0,0.0,0.0,0.0
1543184,2026-05-11T14:10:00+00:00,FT,Match Finished,90.0,1218,Pro League U23,United-Arab-Emirates,2025,Regular Season - 25,27487,Al Dhafra U23,27485,Al Ain U23,0.0,0.0,0.0,1.0
1543185,2026-05-11T14:10:00+00:00,FT,Match Finished,90.0,1218,Pro League U23,United-Arab-Emirates,2025,Regular Season - 25,27490,Al Sharjah U23,27486,Al Bataeh U23,0.0,0.0,1.0,0.0
1543186,2026-05-11T14:10:00+00:00,FT,Match Finished,90.0,1218,Pro League U23,United-Arab-Emirates,2025,Regular Season - 25,27497,Shabab Al-Ahli Dubai U23,27493,Bani Yas U23,0.0,0.0,2.0,1.0
1400260,2026-05-11T14:30:00+00:00,FT,Match Finished,90.0,235,Premier League,Russia,2025,Regular Season - 29,558,Spartak Moscow,1083,Rubin,2.0,1.0,1.0,0.0
1471757,2026-05-11T14:30:00+00:00,NS,Not Started,,397,Girabola,Angola,2025,Regular Season - 27,17987,CD Lunda-Sul,4918,Desportivo Huíla,,,,
1527547,2026-05-11T14:30:00+00:00,FT,Match Finished,90.0,569,Premier League,Kyrgyzstan,2026,Regular Season - 4,27432,Asia Talas,25767,Ozgon,4.0,2.0,3.0,1.0
1543159,2026-05-11T14:30:00+00:00,FT,Match Finished,90.0,542,Iraqi League,Iraq,2025,Regular Season - 34,11064,Al Kahrabaa,6689,Newroz,2.0,1.0,1.0,0.0
1543160,2026-05-11T14:30:00+00:00,FT,Match Finished,90.0,542,Iraqi League,Iraq,2025,Regular Season - 34,15544,Al Karkh,11069,Baghdad,2.0,1.0,1.0,1.0
1543161,2026-05-11T14:30:00+00:00,FT,Match Finished,90.0,542,Iraqi League,Iraq,2025,Regular Season - 34,11066,Al Najaf,11070,Erbil,1.0,4.0,1.0,3.0
1451941,2026-05-11T14:45:00+00:00,FT,Match Finished,90.0,173,Second League,Bulgaria,2025,Regular Season - 32,8528,Yantra 2019,5025,Vihren,0.0,0.0,0.0,0.0
1384630,2026-05-11T15:00:00+00:00,FT,Match Finished,90.0,346,FNL,Czech-Republic,2025,Regular Season - 28,3717,Opava,4257,Artis,0.0,2.0,0.0,1.0
1451934,2026-05-11T15:00:00+00:00,FT,Match Finished,90.0,173,Second League,Bulgaria,2025,Regular Season - 32,5024,Sevlievo,8540,Belasitsa,2.0,1.0,1.0,0.0
1451936,2026-05-11T15:00:00+00:00,FT,Match Finished,90.0,173,Second League,Bulgaria,2025,Regular Season - 32,6392,FK Minyor Pernik,1415,CSKA Sofia II,1.0,2.0,1.0,2.0
1451937,2026-05-11T15:00:00+00:00,FT,Match Finished,90.0,173,Second League,Bulgaria,2025,Regular Season - 32,1409,Ludogorets II,1420,Lokomotiv G. Oryahovitsa,3.0,1.0,2.0,0.0
1451939,2026-05-11T15:00:00+00:00,FT,Match Finished,90.0,173,Second League,Bulgaria,2025,Regular Season - 32,8543,Marek,8530,Chernomorets 1919 Burgas,3.0,0.0,1.0,0.0
